group,key,runs,hours
training_by_dataset,Penmanshiel_Hourly_WT08,559,50.30
training_by_dataset,ETTh1,559,43.31
training_by_dataset,BeijingAir_Tiantan,559,17.63
training_by_dataset,traffic,559,512.48
training_by_architecture,DLinear,440,78.76
training_by_architecture,TSMixer,440,35.40
training_by_architecture,PatchTST,432,224.00
training_by_architecture,GRU,440,41.96
training_by_architecture,ModernTCN,440,242.79
training_by_architecture,SeasonalNaive,40,0.25
training_by_architecture,Chronos2,4,0.56
training_by_method,baseline,844,165.46
training_by_method,randomized_training,60,11.46
training_by_method,adversarial_training,180,130.24
training_by_method,adaptive_robust_loss,800,255.20
training_by_method,fault_augmentation,320,59.11
training_by_method,revin,32,2.24
training_by_dataset_architecture,Penmanshiel_Hourly_WT08/DLinear,110,8.73
training_by_dataset_architecture,Penmanshiel_Hourly_WT08/TSMixer,110,3.09
training_by_dataset_architecture,Penmanshiel_Hourly_WT08/PatchTST,108,18.75
training_by_dataset_architecture,Penmanshiel_Hourly_WT08/GRU,110,2.28
training_by_dataset_architecture,Penmanshiel_Hourly_WT08/ModernTCN,110,17.38
training_by_dataset_architecture,Penmanshiel_Hourly_WT08/SeasonalNaive,10,0.05
training_by_dataset_architecture,Penmanshiel_Hourly_WT08/Chronos2,1,0.03
training_by_dataset_architecture,ETTh1/DLinear,110,14.06
training_by_dataset_architecture,ETTh1/TSMixer,110,6.21
training_by_dataset_architecture,ETTh1/PatchTST,108,9.84
training_by_dataset_architecture,ETTh1/GRU,110,6.42
training_by_dataset_architecture,ETTh1/ModernTCN,110,6.70
training_by_dataset_architecture,ETTh1/SeasonalNaive,10,0.07
training_by_dataset_architecture,ETTh1/Chronos2,1,0.00
training_by_dataset_architecture,BeijingAir_Tiantan/DLinear,110,3.13
training_by_dataset_architecture,BeijingAir_Tiantan/TSMixer,110,2.97
training_by_dataset_architecture,BeijingAir_Tiantan/PatchTST,108,3.55
training_by_dataset_architecture,BeijingAir_Tiantan/GRU,110,1.72
training_by_dataset_architecture,BeijingAir_Tiantan/ModernTCN,110,6.21
training_by_dataset_architecture,BeijingAir_Tiantan/SeasonalNaive,10,0.02
training_by_dataset_architecture,BeijingAir_Tiantan/Chronos2,1,0.01
training_by_dataset_architecture,traffic/DLinear,110,52.83
training_by_dataset_architecture,traffic/TSMixer,110,23.13
training_by_dataset_architecture,traffic/PatchTST,108,191.85
training_by_dataset_architecture,traffic/GRU,110,31.54
training_by_dataset_architecture,traffic/ModernTCN,110,212.50
training_by_dataset_architecture,traffic/SeasonalNaive,10,0.10
training_by_dataset_architecture,traffic/Chronos2,1,0.52
training_by_dataset_method,Penmanshiel_Hourly_WT08/baseline,211,5.90
training_by_dataset_method,Penmanshiel_Hourly_WT08/randomized_training,15,0.47
training_by_dataset_method,Penmanshiel_Hourly_WT08/adversarial_training,45,6.63
training_by_dataset_method,Penmanshiel_Hourly_WT08/adaptive_robust_loss,200,34.67
training_by_dataset_method,Penmanshiel_Hourly_WT08/fault_augmentation,80,2.44
training_by_dataset_method,Penmanshiel_Hourly_WT08/revin,8,0.20
training_by_dataset_method,ETTh1/baseline,211,8.04
training_by_dataset_method,ETTh1/randomized_training,15,0.57
training_by_dataset_method,ETTh1/adversarial_training,45,5.11
training_by_dataset_method,ETTh1/adaptive_robust_loss,200,26.48
training_by_dataset_method,ETTh1/fault_augmentation,80,2.75
training_by_dataset_method,ETTh1/revin,8,0.37
training_by_dataset_method,BeijingAir_Tiantan/baseline,211,3.86
training_by_dataset_method,BeijingAir_Tiantan/randomized_training,15,0.17
training_by_dataset_method,BeijingAir_Tiantan/adversarial_training,45,1.74
training_by_dataset_method,BeijingAir_Tiantan/adaptive_robust_loss,200,10.70
training_by_dataset_method,BeijingAir_Tiantan/fault_augmentation,80,1.08
training_by_dataset_method,BeijingAir_Tiantan/revin,8,0.08
training_by_dataset_method,traffic/baseline,211,147.66
training_by_dataset_method,traffic/randomized_training,15,10.25
training_by_dataset_method,traffic/adversarial_training,45,116.76
training_by_dataset_method,traffic/adaptive_robust_loss,200,183.36
training_by_dataset_method,traffic/fault_augmentation,80,52.85
training_by_dataset_method,traffic/revin,8,1.60
testing_by_dataset,Penmanshiel_Hourly_WT08,41,1.03
testing_by_dataset,ETTh1,41,0.32
testing_by_dataset,BeijingAir_Tiantan,41,0.22
testing_by_dataset,traffic,41,15.27
testing_by_method,adaptive_robust_loss,20,0.78
testing_by_method,adversarial_training,20,0.79
testing_by_method,baseline,28,5.02
testing_by_method,ensemble,20,2.17
testing_by_method,fault_augmentation,20,0.81
testing_by_method,randomized_smoothing,20,5.90
testing_by_method,randomized_training,20,0.78
testing_by_method,revin,16,0.59
