dataset,arch,scenario,pert_idx,sample_id,source_sample_idx,severity,score_metric,clean_sample_score,perturbed_sample_score,segment,time_index,time_step,feature,affected_feature,clean_input,perturbed_input,ground_truth,clean_prediction,perturbed_prediction
traffic,PatchTST,time_stretch,4,7218,79,0.4942803978919983,MSE,0.3723537623882293,0.873369038105011,input,1.0,0,9,True,0.0028999969363212,0.0028999969363212,,,
traffic,PatchTST,time_stretch,4,7218,79,0.4942803978919983,MSE,0.3723537623882293,0.873369038105011,input,1.0,0,43,True,0.0148000009357929,0.0148000009357929,,,
traffic,PatchTST,time_stretch,4,7218,79,0.4942803978919983,MSE,0.3723537623882293,0.873369038105011,input,1.0,0,217,True,0.0110000036656856,0.0110000036656856,,,
traffic,PatchTST,time_stretch,4,7218,79,0.4942803978919983,MSE,0.3723537623882293,0.873369038105011,input,1.0,0,304,True,0.0069999992847442,0.0069999992847442,,,
traffic,PatchTST,time_stretch,4,7218,79,0.4942803978919983,MSE,0.3723537623882293,0.873369038105011,input,1.0,0,397,True,0.0181000009179115,0.0181000009179115,,,
traffic,PatchTST,time_stretch,4,7218,79,0.4942803978919983,MSE,0.3723537623882293,0.873369038105011,input,1.0,0,475,True,0.0170999988913536,0.0170999988913536,,,
traffic,PatchTST,time_stretch,4,7218,79,0.4942803978919983,MSE,0.3723537623882293,0.873369038105011,input,1.0,0,580,True,0.003100000321865,0.003100000321865,,,
traffic,PatchTST,time_stretch,4,7218,79,0.4942803978919983,MSE,0.3723537623882293,0.873369038105011,input,1.0,0,586,True,0.0037000030279159,0.0037000030279159,,,
traffic,PatchTST,time_stretch,4,7218,79,0.4942803978919983,MSE,0.3723537623882293,0.873369038105011,input,1.0,0,608,True,0.018600009381771,0.018600009381771,,,
traffic,PatchTST,time_stretch,4,7218,79,0.4942803978919983,MSE,0.3723537623882293,0.873369038105011,input,1.0,0,632,True,0.0121999979019165,0.0121999979019165,,,
traffic,PatchTST,time_stretch,4,7218,79,0.4942803978919983,MSE,0.3723537623882293,0.873369038105011,input,1.0,0,840,True,0.0087000001221895,0.0087000001221895,,,
traffic,PatchTST,time_stretch,4,7218,79,0.4942803978919983,MSE,0.3723537623882293,0.873369038105011,input,2.0,1,9,True,0.0089000016450881,0.0089000016450881,,,
traffic,PatchTST,time_stretch,4,7218,79,0.4942803978919983,MSE,0.3723537623882293,0.873369038105011,input,2.0,1,43,True,0.0152000002562999,0.0152000002562999,,,
traffic,PatchTST,time_stretch,4,7218,79,0.4942803978919983,MSE,0.3723537623882293,0.873369038105011,input,2.0,1,217,True,0.0221000015735626,0.0221000015735626,,,
traffic,PatchTST,time_stretch,4,7218,79,0.4942803978919983,MSE,0.3723537623882293,0.873369038105011,input,2.0,1,304,True,0.0126000009477138,0.0126000009477138,,,
traffic,PatchTST,time_stretch,4,7218,79,0.4942803978919983,MSE,0.3723537623882293,0.873369038105011,input,2.0,1,397,True,0.0359000004827976,0.0359000004827976,,,
traffic,PatchTST,time_stretch,4,7218,79,0.4942803978919983,MSE,0.3723537623882293,0.873369038105011,input,2.0,1,475,True,0.0405000001192092,0.0405000001192092,,,
traffic,PatchTST,time_stretch,4,7218,79,0.4942803978919983,MSE,0.3723537623882293,0.873369038105011,input,2.0,1,580,True,0.0029999986290931,0.0029999986290931,,,
traffic,PatchTST,time_stretch,4,7218,79,0.4942803978919983,MSE,0.3723537623882293,0.873369038105011,input,2.0,1,586,True,0.0111000016331672,0.0111000016331672,,,
traffic,PatchTST,time_stretch,4,7218,79,0.4942803978919983,MSE,0.3723537623882293,0.873369038105011,input,2.0,1,608,True,0.0208000019192695,0.0208000019192695,,,
traffic,PatchTST,time_stretch,4,7218,79,0.4942803978919983,MSE,0.3723537623882293,0.873369038105011,input,2.0,1,632,True,0.033900000154972,0.033900000154972,,,
traffic,PatchTST,time_stretch,4,7218,79,0.4942803978919983,MSE,0.3723537623882293,0.873369038105011,input,2.0,1,840,True,0.0227000005543231,0.0227000005543231,,,
traffic,PatchTST,time_stretch,4,7218,79,0.4942803978919983,MSE,0.3723537623882293,0.873369038105011,input,3.0,2,9,True,0.0208999998867511,0.0129307433962821,,,
traffic,PatchTST,time_stretch,4,7218,79,0.4942803978919983,MSE,0.3723537623882293,0.873369038105011,input,3.0,2,43,True,0.0278000012040138,0.0194322727620601,,,
traffic,PatchTST,time_stretch,4,7218,79,0.4942803978919983,MSE,0.3723537623882293,0.873369038105011,input,3.0,2,217,True,0.0907000005245208,0.0451423898339271,,,
traffic,PatchTST,time_stretch,4,7218,79,0.4942803978919983,MSE,0.3723537623882293,0.873369038105011,input,3.0,2,304,True,0.0256999991834163,0.0170002207159996,,,
traffic,PatchTST,time_stretch,4,7218,79,0.4942803978919983,MSE,0.3723537623882293,0.873369038105011,input,3.0,2,397,True,0.0621000006794929,0.0447004474699497,,,
traffic,PatchTST,time_stretch,4,7218,79,0.4942803978919983,MSE,0.3723537623882293,0.873369038105011,input,3.0,2,475,True,0.0817999988794326,0.0543724596500396,,,
traffic,PatchTST,time_stretch,4,7218,79,0.4942803978919983,MSE,0.3723537623882293,0.873369038105011,input,3.0,2,580,True,0.0054999999701976,0.0038397349417209,,,
traffic,PatchTST,time_stretch,4,7218,79,0.4942803978919983,MSE,0.3723537623882293,0.873369038105011,input,3.0,2,586,True,0.0271000005304813,0.0164743177592754,,,
traffic,PatchTST,time_stretch,4,7218,79,0.4942803978919983,MSE,0.3723537623882293,0.873369038105011,input,3.0,2,608,True,0.0263999998569488,0.0226810127496719,,,
traffic,PatchTST,time_stretch,4,7218,79,0.4942803978919983,MSE,0.3723537623882293,0.873369038105011,input,3.0,2,632,True,0.0694999992847442,0.0458578579127788,,,
traffic,PatchTST,time_stretch,4,7218,79,0.4942803978919983,MSE,0.3723537623882293,0.873369038105011,input,3.0,2,840,True,0.3140000104904175,0.1205461919307708,,,
traffic,PatchTST,time_stretch,4,7218,79,0.4942803978919983,MSE,0.3723537623882293,0.873369038105011,input,4.0,3,9,True,0.0450999997556209,0.0169614814221858,,,
traffic,PatchTST,time_stretch,4,7218,79,0.4942803978919983,MSE,0.3723537623882293,0.873369038105011,input,4.0,3,43,True,0.0417000018060207,0.0236645527184009,,,
