dataset_order,dataset,dataset_label,backbone_order,backbone,backbone_label,run_id,data_config_signature,D_w,D_w_CI_lo,D_w_CI_hi,MSE_c,MSE_w,D_mean,MSE_mean_fault_time,worst_scenario,n_test_samples,selection_pool
1,BeijingAir_Tiantan,Beijing Air Tiantan,1,SeasonalNaive,SeasonalNaive,2accda0b4aba4824be952a1fd0a49ed1,4c5e0908fb1a9097c1bed37a3c29e849947e6fbd5828b63bc6ba2909525a5089,1.3531651711672756,1.3130540440460514,1.392813702103115,0.3526283968059957,0.4771644649224272,1.1452251350628528,0.4038389033591438,noise,10000,winner_pool
1,BeijingAir_Tiantan,Beijing Air Tiantan,2,DLinear,DLinear,e765a57955e6486ca3ea08dd793c8c4b,4c5e0908fb1a9097c1bed37a3c29e849947e6fbd5828b63bc6ba2909525a5089,1.6276289092837974,1.5609503418385484,1.6917460264033124,0.329092931778208,0.5356411696031719,1.206105177870259,0.3969206890182005,noise,10000,winner_pool
1,BeijingAir_Tiantan,Beijing Air Tiantan,3,GRU,GRU,a821a9e98c12454bb58f62ed3ab0772a,4c5e0908fb1a9097c1bed37a3c29e849947e6fbd5828b63bc6ba2909525a5089,1.251110537493348,1.228928613989719,1.2969896017750913,0.2811948516822071,0.3518058420284884,1.1246824613735664,0.3162549179155196,attenuation,10000,winner_pool
1,BeijingAir_Tiantan,Beijing Air Tiantan,4,ModernTCN,ModernTCN,bffc3cf719dd48b497ad3b9b0a32a8da,4c5e0908fb1a9097c1bed37a3c29e849947e6fbd5828b63bc6ba2909525a5089,1.5019724269220764,1.4513467846821544,1.5525794281740692,0.3010738185718888,0.4522045739631168,1.185675259459173,0.3569757779515883,noise,10000,winner_pool
1,BeijingAir_Tiantan,Beijing Air Tiantan,5,TSMixer,TSMixer,f26ecf129f89445c806cd2def2c60008,4c5e0908fb1a9097c1bed37a3c29e849947e6fbd5828b63bc6ba2909525a5089,1.1527123329503948,1.119251417922875,1.197049163796165,0.3588569508749817,0.4136588330385654,1.0680960448067405,0.3832936898809747,attenuation,10000,winner_pool
1,BeijingAir_Tiantan,Beijing Air Tiantan,6,PatchTST,PatchTST,bf9287ea69da4512a922e1e6f4087986,4c5e0908fb1a9097c1bed37a3c29e849947e6fbd5828b63bc6ba2909525a5089,1.3761617485550213,1.33716212551124,1.4180652704926038,0.3378358604745662,0.4649167884752693,1.1616686297558902,0.3924533211198915,noise,10000,winner_pool
1,BeijingAir_Tiantan,Beijing Air Tiantan,7,Chronos2,Chronos2,b3e7b9a229724d3cab077d959057c670,4c5e0908fb1a9097c1bed37a3c29e849947e6fbd5828b63bc6ba2909525a5089,1.23019314263883,1.190033626609312,1.2956125855582443,0.3488106033523345,0.4291044123237548,1.1196456546680078,0.3905442763455673,stuck_sensor,10000,winner_pool
2,Penmanshiel_Hourly_WT08,Penmanshiel WT08,1,SeasonalNaive,SeasonalNaive,44d49900f195447783004972cddf02af,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,1.3204154727826485,1.2906300803416229,1.3533358562189128,0.3889769631446924,0.5136112006922579,1.1069612040163612,0.4305824074572765,noise,10000,winner_pool
2,Penmanshiel_Hourly_WT08,Penmanshiel WT08,2,DLinear,DLinear,60fed0bc9ac241f78ae88438e7a81bd7,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,1.2593600353792047,1.233293587266708,1.2877108122241374,0.3402492441755021,0.428496300182608,1.099251064760835,0.3740193439439899,noise,10000,winner_pool
2,Penmanshiel_Hourly_WT08,Penmanshiel WT08,3,GRU,GRU,207cb29892c64707a2a730092d2a5c23,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,1.063679144443995,1.055935523431772,1.072394749806824,0.3455990934811067,0.3676065480746038,1.0272414513836818,0.3550137143844167,drift,10000,winner_pool
2,Penmanshiel_Hourly_WT08,Penmanshiel WT08,4,ModernTCN,ModernTCN,0a3c1ca1f138463992a2135c0a32d428,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,1.183148641445075,1.1648539910389428,1.202886965368547,0.335525509723532,0.3969765509995632,1.0714641225017787,0.3595035458528862,noise,10000,winner_pool
2,Penmanshiel_Hourly_WT08,Penmanshiel WT08,5,TSMixer,TSMixer,81269ff3e448446eb88faf6d72b2ac76,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,1.256385327503652,1.2356785148771328,1.2787153360486725,0.3529221561391721,0.4434062187242089,1.094867065431011,0.3864028454176805,noise,10000,winner_pool
2,Penmanshiel_Hourly_WT08,Penmanshiel WT08,6,PatchTST,PatchTST,533ed0154c5c4e8195654b6e744969b6,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,1.2020969749579795,1.1901138285871404,1.2480754964325027,0.3539782933369628,0.4255162356211512,1.1022719556597171,0.3901803456576229,drift,10000,winner_pool
2,Penmanshiel_Hourly_WT08,Penmanshiel WT08,7,Chronos2,Chronos2,5ee5587a822c45ed8fbf5dd85e911272,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,1.1599573577847928,1.1456676674408794,1.1775815436316888,0.4014521331300828,0.4656673556226398,1.0518599349424451,0.4222714146367148,drift,10000,winner_pool
3,ETTh1,ETTh1,1,SeasonalNaive,SeasonalNaive,5d0c98c7baa349728d577856828c860d,4a82efae1ffe76a156a2bf948861e2da349ef1c1c994d9f24654525f47fbf14d,1.287904387857477,1.2722298888313075,1.304984109602632,0.6339963261216879,0.8165266502976417,1.1484676504950002,0.7281242710834368,missing_data,10000,winner_pool
3,ETTh1,ETTh1,2,DLinear,DLinear,2c53c17080c14c5aaa939b6c45fbe0a3,4a82efae1ffe76a156a2bf948861e2da349ef1c1c994d9f24654525f47fbf14d,1.2507785894272812,1.2406724980294024,1.2607403026116573,0.4378714672148228,0.54768025611341,1.1190162857687238,0.4899853028868325,stuck_sensor,10000,winner_pool
3,ETTh1,ETTh1,3,GRU,GRU,36598a0f6b774ca4a4d3b82906b8927d,4a82efae1ffe76a156a2bf948861e2da349ef1c1c994d9f24654525f47fbf14d,1.0641139824735013,1.0593880911371976,1.0693072645136994,0.6644111780494452,0.7070092246741057,1.0214849084432376,0.678685991378501,missing_data,10000,winner_pool
3,ETTh1,ETTh1,4,ModernTCN,ModernTCN,920f0d5691bd441c95bac6953be76afe,4a82efae1ffe76a156a2bf948861e2da349ef1c1c994d9f24654525f47fbf14d,1.215928962419653,1.207935401810767,1.224134408373835,0.4618371743693947,0.5615611962378025,1.1137774243406833,0.5143838185339235,stuck_sensor,10000,winner_pool
3,ETTh1,ETTh1,5,TSMixer,TSMixer,2d589960c4334ac5adff37c302ad60ee,4a82efae1ffe76a156a2bf948861e2da349ef1c1c994d9f24654525f47fbf14d,1.1688347780184012,1.1637674770219766,1.1766203354310056,0.4748584107920527,0.5550310251682997,1.0933093031709502,0.519167118207924,stuck_sensor,10000,winner_pool
3,ETTh1,ETTh1,6,PatchTST,PatchTST,519b468e69dd465daa969d3d9b3ffdf0,4a82efae1ffe76a156a2bf948861e2da349ef1c1c994d9f24654525f47fbf14d,1.3121988937420432,1.299754370567292,1.3242876519013849,0.4312626197248697,0.5659023325152696,1.162725447863271,0.5014400226662867,stuck_sensor,10000,winner_pool
