dataset_order,dataset,dataset_label,backbone_order,backbone,backbone_label,architecture_family,data_config_signature,baseline_run_id,baseline_pipeline_id,baseline_MSE_c,baseline_D_w,baseline_MSE_w,baseline_D_mean,baseline_MSE_mean_fault_time,baseline_worst_scenario,improvement_method,improvement_method_label,improvement_run_id,improvement_pipeline_id,improvement_MSE_c,improvement_D_w,improvement_MSE_w,improvement_D_mean,improvement_MSE_mean_fault_time,improvement_worst_scenario,delta_MSE_c,delta_D_w,delta_MSE_w,delta_D_mean,delta_MSE_mean_fault_time,selection_pool
1,BeijingAir_Tiantan,Beijing Air Tiantan,2,DLinear,DLinear,Fully Connected,4c5e0908fb1a9097c1bed37a3c29e849947e6fbd5828b63bc6ba2909525a5089,e765a57955e6486ca3ea08dd793c8c4b,baseline,0.329092931778208,1.6276289092837974,0.5356411696031719,1.206105177870259,0.3969206890182005,noise,adversarial_training,PGD adversarial training,a25afb6afae14c079aa7a573a25da968,advtrain_eps0.05_steps3_alpha0.02_channelsall,0.3285098091940861,1.2927019277510408,0.4246652636303217,1.1336443694718108,0.3724132955091346,noise,-0.0005831225841219,-0.3349269815327567,-0.1109759059728501,-0.0724608083984481,-0.0245073935090658,winner_pool
1,BeijingAir_Tiantan,Beijing Air Tiantan,3,GRU,GRU,Recurrent,4c5e0908fb1a9097c1bed37a3c29e849947e6fbd5828b63bc6ba2909525a5089,a821a9e98c12454bb58f62ed3ab0772a,baseline,0.2811948516822071,1.251110537493348,0.3518058420284884,1.1246824613735664,0.3162549179155196,attenuation,adversarial_training,PGD adversarial training,0954926880684284a2d1e51f42ef8fc2,advtrain_eps0.05_steps7_alpha0.02_channelsall,0.2935204664538556,1.2328350572872404,0.3618623210756166,1.118655926022261,0.3283484092074239,attenuation,0.0123256147716485,-0.0182754802061075,0.0100564790471281,-0.0060265353513053,0.0120934912919042,winner_pool
1,BeijingAir_Tiantan,Beijing Air Tiantan,4,ModernTCN,ModernTCN,Convolution,4c5e0908fb1a9097c1bed37a3c29e849947e6fbd5828b63bc6ba2909525a5089,bffc3cf719dd48b497ad3b9b0a32a8da,baseline,0.3010738185718888,1.5019724269220764,0.4522045739631168,1.185675259459173,0.3569757779515883,noise,adversarial_training,PGD adversarial training,c08994e7448e4ec49627ff352f7a4d8f,advtrain_eps0.05_steps3_alpha0.02_channelsall,0.3198799763918796,1.2953548594589543,0.4143580818628368,1.1218765000270152,0.3588658283432461,attenuation,0.0188061578199907,-0.2066175674631221,-0.03784649210028,-0.0637987594321578,0.0018900503916578,winner_pool
1,BeijingAir_Tiantan,Beijing Air Tiantan,5,TSMixer,TSMixer,Fully Connected,4c5e0908fb1a9097c1bed37a3c29e849947e6fbd5828b63bc6ba2909525a5089,f26ecf129f89445c806cd2def2c60008,baseline,0.3588569508749817,1.1527123329503948,0.4136588330385654,1.0680960448067405,0.3832936898809747,attenuation,adversarial_training,PGD adversarial training,ff851d62b9a74fb5b20f05187e60de8e,advtrain_eps0.1_steps3_alpha0.02_channelsall,0.3458465660181333,1.1479505457680763,0.3970147542125312,1.071887734833942,0.3707086922492743,noise,-0.0130103848568484,-0.0047617871823182,-0.0166440788260341,0.0037916900272016,-0.0125849976317004,winner_pool
1,BeijingAir_Tiantan,Beijing Air Tiantan,6,PatchTST,PatchTST,Attention,4c5e0908fb1a9097c1bed37a3c29e849947e6fbd5828b63bc6ba2909525a5089,bf9287ea69da4512a922e1e6f4087986,baseline,0.3378358604745662,1.3761617485550213,0.4649167884752693,1.1616686297558902,0.3924533211198915,noise,adversarial_training,PGD adversarial training,85f668cf69794d92a27b4f17017ff337,advtrain_eps0.1_steps3_alpha0.02_channelsall,0.3415264536380724,1.259165810660164,0.4300384338570744,1.1320676504363971,0.3866310499319279,attenuation,0.0036905931635061,-0.1169959378948573,-0.0348783546181948,-0.0296009793194929,-0.0058222711879636,winner_pool
2,Penmanshiel_Hourly_WT08,Penmanshiel WT08,2,DLinear,DLinear,Fully Connected,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,60fed0bc9ac241f78ae88438e7a81bd7,baseline,0.3402492441755021,1.2593600353792047,0.428496300182608,1.099251064760835,0.3740193439439899,noise,adversarial_training,PGD adversarial training,dac780dbd1084104adac95e854b5f958,advtrain_eps0.05_steps7_alpha0.02_channelsall,0.3383405032536364,1.221883263627264,0.4134125983328442,1.0917285151002285,0.3693759752153565,noise,-0.0019087409218657,-0.0374767717519406,-0.0150837018497637,-0.0075225496606066,-0.0046433687286334,winner_pool
2,Penmanshiel_Hourly_WT08,Penmanshiel WT08,3,GRU,GRU,Recurrent,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,207cb29892c64707a2a730092d2a5c23,baseline,0.3455990934811067,1.063679144443995,0.3676065480746038,1.0272414513836818,0.3550137143844167,drift,adversarial_training,PGD adversarial training,7a63d1e925c54195820e2bbc7a31aa01,advtrain_eps0.05_steps3_alpha0.02_channelsall,0.3403532595718512,1.037146794611287,0.3529962922004488,1.0175629311747234,0.3463308604448045,attenuation,-0.0052458339092554,-0.0265323498327081,-0.0146102558741549,-0.0096785202089584,-0.0086828539396122,winner_pool
2,Penmanshiel_Hourly_WT08,Penmanshiel WT08,4,ModernTCN,ModernTCN,Convolution,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,0a3c1ca1f138463992a2135c0a32d428,baseline,0.335525509723532,1.183148641445075,0.3969765509995632,1.0714641225017787,0.3595035458528862,noise,adversarial_training,PGD adversarial training,0f7bc488f0ca48d090b7152800bff9fd,advtrain_eps0.2_steps3_alpha0.02_channelsall,0.3389717738935724,1.1007217972571843,0.3731136201795889,1.0505343004459018,0.3561014753581905,noise,0.0034462641700404,-0.0824268441878905,-0.0238629308199742,-0.0209298220558769,-0.0034020704946957,winner_pool
2,Penmanshiel_Hourly_WT08,Penmanshiel WT08,5,TSMixer,TSMixer,Fully Connected,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,81269ff3e448446eb88faf6d72b2ac76,baseline,0.3529221561391721,1.256385327503652,0.4434062187242089,1.094867065431011,0.3864028454176805,noise,adversarial_training,PGD adversarial training,eab37be4347e4eb4b558e1df6fab9afa,advtrain_eps0.1_steps3_alpha0.02_channelsall,0.3359805406098079,1.1103591901879053,0.3730590809904009,1.055683784292353,0.3546892085595525,noise,-0.0169416155293642,-0.1460261373157467,-0.0703471377338079,-0.0391832811386581,-0.0317136368581279,winner_pool
2,Penmanshiel_Hourly_WT08,Penmanshiel WT08,6,PatchTST,PatchTST,Attention,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,533ed0154c5c4e8195654b6e744969b6,baseline,0.3539782933369628,1.2020969749579795,0.4255162356211512,1.1022719556597171,0.3901803456576229,drift,adversarial_training,PGD adversarial training,3d95ee92f15b4b179f87da658e9416b8,advtrain_eps0.05_steps7_alpha0.02_channelsall,0.3471860807366378,1.201854409783305,0.4172671221487107,1.0976755323829104,0.381097666008525,drift,-0.0067922126003249,-0.0002425651746744,-0.0082491134724405,-0.0045964232768067,-0.0090826796490978,winner_pool
