,dataset,data_config_signature,run_id,model,loader_kind,model_architecture,pipeline_id,pipeline_method,pipeline_kind,stage,robustness_method,base_pipeline_method,backbone_run_id,backbone_run_ids,backbone_architecture,eval_data_seed,test_metric,MSE_val,MSE_pert_ws_val,MSE_pert_mean_val,MSE_test,best_val_loss,robustness_scoring_semantics,perturbation_channel_fraction_max,perturbation_scenarios_signature,perturbation_scenarios_count,D_w,D_w_CI_lo,D_w_CI_hi,D_mean,D_mean_CI_lo,D_mean_CI_hi,err_pert_ws,err_pert_ws_CI_lo,err_pert_ws_CI_hi,err_pert_mean,err_pert_mean_CI_lo,err_pert_mean_CI_hi,MSE_w,worst_scenario,n_test_samples,selection_pool,mCE_snaive,relative_mCE_snaive,mPC,rPC,rho_eff,rho_eff_status
0,Penmanshiel_Hourly_WT08,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,e78f42efaca24d7996939c737115cc9e,RandomizedSmoothing,RandomizedSmoothing,ModernTCN,rs_backbonebaseline_std0.25_samples30_alpha0.25,randomized_smoothing,wrap,improve,randomized_smoothing,baseline,0a3c1ca1f138463992a2135c0a32d428,,ModernTCN,1515776824,MSE,0.31191471219062805,0.36695494484055474,0.3343583476313433,0.3366118444508291,0.3116857409477234,uniform_severity_degradation,0.5,"[""drift"",""attenuation"",""noise"",""spike"",""time_stretch"",""time_compress"",""stuck_sensor"",""missing_data""]",8,1.1814355609627079,1.162861552010243,1.2011976355035043,1.0714939969613149,1.0650897865317102,1.0783612222165015,0.39768520327545703,0.3850157217762128,0.4096326469090098,0.3606775706351393,0.34925555566381417,0.3711219042346137,0.39768520327545703,noise,10000,winner_pool,0.8409856142687845,0.8389229001596552,0.3606775706351393,0.933276343904803,0.0024461199742302764,computed
1,Penmanshiel_Hourly_WT08,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,91d651009a96427f8455883dcacee85d,RandomizedSmoothing,RandomizedSmoothing,GRU,rs_backbonebaseline_std0.25_samples30_alpha0.35,randomized_smoothing,wrap,improve,randomized_smoothing,baseline,207cb29892c64707a2a730092d2a5c23,,GRU,1515776824,MSE,0.29957959055900574,0.32233022427809194,0.30814123559621176,0.34565211532259127,0.29940178990364075,uniform_severity_degradation,0.5,"[""drift"",""attenuation"",""noise"",""spike"",""time_stretch"",""time_compress"",""stuck_sensor"",""missing_data""]",8,1.0637471424240743,1.056291098058141,1.0726876231124352,1.027417488519025,1.0248609402820765,1.0301898064968649,0.3676864499472431,0.3571993548546533,0.37834815970639757,0.3551290282260252,0.3445940292990211,0.3653620366758865,0.3676864499472431,drift,10000,winner_pool,0.8309935471210826,0.8259528471477413,0.3551290282260252,0.9733141699207921,0.017747516341398373,computed
2,Penmanshiel_Hourly_WT08,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,942603ee56af4830bbd328dfe54df3cf,RandomizedSmoothing,RandomizedSmoothing,PatchTST,rs_backbonebaseline_std0.25_samples30_alpha0.25,randomized_smoothing,wrap,improve,randomized_smoothing,baseline,533ed0154c5c4e8195654b6e744969b6,,PatchTST,1515776824,MSE,0.32523441314697266,0.3967859734526913,0.3613957408556998,0.3571691093969508,0.3227744400501251,uniform_severity_degradation,0.5,"[""drift"",""attenuation"",""noise"",""spike"",""time_stretch"",""time_compress"",""stuck_sensor"",""missing_data""]",8,1.2050371583771515,1.1900436040640245,1.2439893569999407,1.1015558920298072,1.0921984750301157,1.1117925777815816,0.4304020486477995,0.41926444964009063,0.446392345155192,0.39344173690724993,0.3820075345581656,0.40358993531198945,0.4304020486477995,drift,10000,winner_pool,0.9164166638199729,0.9165185446660771,0.39344173690724993,0.9078068641231877,-0.008140370912493256,computed
3,Penmanshiel_Hourly_WT08,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,3535a87476fd41a2b9540ad341962848,RandomizedSmoothing,RandomizedSmoothing,TSMixer,rs_backbonebaseline_std0.25_samples30_alpha0.25,randomized_smoothing,wrap,improve,randomized_smoothing,baseline,81269ff3e448446eb88faf6d72b2ac76,,TSMixer,1515776824,MSE,0.32738178968429565,0.4092753818850809,0.3591509583235602,0.3598260198074626,0.32407164573669434,uniform_severity_degradation,0.5,"[""drift"",""attenuation"",""noise"",""spike"",""time_stretch"",""time_compress"",""stuck_sensor"",""missing_data""]",8,1.2502935165395157,1.2298418402702862,1.271339373923985,1.0923604139169942,1.0864520051242863,1.0986056278317966,0.44988813964748986,0.438167024217663,0.4630413038959366,0.39305969993498435,0.38181296334876824,0.4031104754635592,0.44988813964748986,noise,10000,winner_pool,0.9139396237829145,0.9129448438902388,0.39305969993498435,0.9154487724561462,-0.004891989228929028,computed
4,Penmanshiel_Hourly_WT08,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,74818a93229d4d57978a8241f637c00c,RandomizedSmoothing,RandomizedSmoothing,DLinear,rs_backbonebaseline_std0.25_samples30_alpha0.45,randomized_smoothing,wrap,improve,randomized_smoothing,baseline,60fed0bc9ac241f78ae88438e7a81bd7,,DLinear,1515776824,MSE,0.32581233978271484,0.4024291049335734,0.3584781929877669,0.34254711021562106,0.32475700974464417,uniform_severity_degradation,0.5,"[""drift"",""attenuation"",""noise"",""spike"",""time_stretch"",""time_compress"",""stuck_sensor"",""missing_data""]",8,1.2559659700426895,1.2297306185167456,1.2835620268266488,1.0981522482256036,1.0881978033029676,1.1087112744594594,0.43022751356728256,0.4159373978248604,0.44435094475735704,0.3761688792064679,0.36466287268484676,0.38740638536090877,0.43022751356728256,noise,10000,winner_pool,0.875562510426276,0.8752632202716759,0.3761688792064679,0.9106205461180832,-0.006642087846112754,computed
5,Penmanshiel_Hourly_WT08,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,267c69033e154f2582995bc10fbbc659,Ensemble,Ensemble,ModernTCN,ensemble_top7_mean,ensemble,wrap,improve,ensemble,baseline,,"0a3c1ca1f138463992a2135c0a32d428,f76e7cceb950487aa248426ae1f8e0ed,c2b020d12cff4c6e8cf9d64c1f7f874b,534b1529b3674f06bee8114a955de664,64e1a6462eeb4e7ea686095a17fc7250,e0bec81494d94576bba93f1063ca9729,62582f1968d64227ace89d3c1f550670",ModernTCN,1515776824,MSE,0.30929648876190186,0.36079748577905896,0.3304975634500952,0.33098708972473395,0.3116857409477234,uniform_severity_degradation,0.5,"[""drift"",""attenuation"",""noise"",""spike"",""time_stretch"",""time_compress"",""stuck_sensor"",""missing_data""]",8,1.177388338126221,1.1587778337273422,1.1975237975952184,1.0700618523698409,1.0638789498696104,1.0771718268098622,0.38970033951223887,0.3773105295032093,0.40184094195695974,0.3541766583413515,0.3430453251000974,0.36440612126169614,0.38970033951223887,noise,10000,winner_pool,0.8260126262361092,0.8239131294699016,0.3541766583413515,0.9345254181198251,0.002878923881486639,computed
6,Penmanshiel_Hourly_WT08,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,44b1104ae55f4888a45c4a6bbecc6af1,Ensemble,Ensemble,GRU,ensemble_top10_mean,ensemble,wrap,improve,ensemble,baseline,,"207cb29892c64707a2a730092d2a5c23,c5f8b499dcea47f79cc03b0ffb597fb9,447315075dae4f19b487cfe8d0a8fe91,6328c6c4af0e41c18e408fd583a21eee,f3efbdce366045cfbe1b8aaad0e8691f,6572f0f3b59c45908ea2e79f2b6215bb,762e808cf974466eacb94d91757e321a,480356a20f7649fc902d747bf8673cca,b79fa15009b74f4495f3803a29623fe0,3a18295cc7494834b016de62ee14df63",GRU,1515776824,MSE,0.2959790825843811,0.3175698691038803,0.3038619940393279,0.3374713239961129,0.29940178990364075,uniform_severity_degradation,0.5,"[""drift"",""attenuation"",""noise"",""spike"",""time_stretch"",""time_compress"",""stuck_sensor"",""missing_data""]",8,1.065010597123925,1.0568340586061507,1.0740049309327744,1.0262896513879947,1.023835103303917,1.0289826431554847,0.35941053628130176,0.3488428529008101,0.3696842578339981,0.34634332745741575,0.33577721572692343,0.3563816278914445,0.35941053628130176,drift,10000,winner_pool,0.8104046168721469,0.8053880386239605,0.34634332745741575,0.9743837898468141,0.01770758898989999,computed
7,Penmanshiel_Hourly_WT08,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,29517173c81049f19b34e11332f2ecbd,Ensemble,Ensemble,PatchTST,ensemble_top7_mean,ensemble,wrap,improve,ensemble,baseline,,"533ed0154c5c4e8195654b6e744969b6,8bea439639da4ae0b728f974f654377a,d9168fd9e6354e778514e4f5b9238d41,e5874a5cb6d040368e959761f5a0cdcd,5767142541d74860a384091aef8ebcae,22c7ccbd127948a3a73142b927c39f56,7615ad55a9c04e308d4d56c7d2b99f60",PatchTST,1515776824,MSE,0.3191685676574707,0.38831734968937354,0.35510291966121893,0.3405332779457822,0.3227744400501251,uniform_severity_degradation,0.5,"[""drift"",""attenuation"",""noise"",""spike"",""time_stretch"",""time_compress"",""stuck_sensor"",""missing_data""]",8,1.2203574312550096,1.205224205450051,1.2636517678016022,1.1088091469206744,1.0984940880691902,1.1203558675024807,0.41557231633076297,0.4039468656570899,0.43427762403181175,0.3775864134171637,0.36614394629725994,0.3881013705034753,0.41557231633076297,noise,10000,winner_pool,0.8789678367545074,0.8795327976452879,0.3775864134171637,0.9018684620136356,-0.010232191183616346,computed
8,Penmanshiel_Hourly_WT08,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,29e5bde26f224b84b86a34b701c5437f,Ensemble,Ensemble,TSMixer,ensemble_top10_mean,ensemble,wrap,improve,ensemble,baseline,,"81269ff3e448446eb88faf6d72b2ac76,df78767a19b443d1913c0f402b7b9f7a,e7cb7274794c47ef8c9c0dbe6fdf1fa8,3191deaf401d488299bd641311b273b3,f04f1d3799ff4a9fb9dd0ae04cc24cff,93c2fb8b5241404294fb9c2d1d7e2d47,99e1835573f74124adaf05ae41105390,d1b14ec49ae045e794aadb499fc93bd6,ac8d4aafa1894aaaad261eecc1c627e4,b6d313d3e6554fdf8e9e5dffb3bb982f",TSMixer,1515776824,MSE,0.3139127790927887,0.3572809763579086,0.33234825535941737,0.34638609623718075,0.32407164573669434,uniform_severity_degradation,0.5,"[""drift"",""attenuation"",""noise"",""spike"",""time_stretch"",""time_compress"",""stuck_sensor"",""missing_data""]",8,1.1396484200425598,1.127343703587451,1.1548011736432864,1.05863655115844,1.0542242685591487,1.0633852366981837,0.3947583673014131,0.38280615067265183,0.4060626195243119,0.3666969822897645,0.3547661869122638,0.3769371537139106,0.3947583673014131,noise,10000,winner_pool,0.8551587937600291,0.8520258728753873,0.3666969822897645,0.944611253886638,0.0069713985607028905,computed
9,Penmanshiel_Hourly_WT08,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,401408fed7a842bbb15e7b4784c89b21,Ensemble,Ensemble,DLinear,ensemble_top10_mean,ensemble,wrap,improve,ensemble,baseline,,"60fed0bc9ac241f78ae88438e7a81bd7,03a611b601ec400695a85a06228c0fe7,7dd5201e142847de977bc4d5b42bb539,f5ebe6a0ea1f48fc8e8d26cfcb2749fc,1d0a9933f30841888ba0bb7684d97cd2,7896f95de6ae4b58b66b3f276bb460bc,e8fb408f03be445580fdd56b906b1f7d,690f9e263fea434294d9d16f05cb3aca,57c1215fbadc495b83bf650c31ab0b75,08390dcb7b9c40d4bf436b900b7b541b",DLinear,1515776824,MSE,0.324107825756073,0.3951643314701505,0.3547977030696687,0.3394014749585185,0.32475700974464417,uniform_severity_degradation,0.5,"[""drift"",""attenuation"",""noise"",""spike"",""time_stretch"",""time_compress"",""stuck_sensor"",""missing_data""]",8,1.2456396493268138,1.2206886206666145,1.2724974851756805,1.0969191923240993,1.087747668152612,1.1064569727654805,0.4227719342483324,0.40859577158234694,0.4368600153671324,0.3722959917851062,0.36087532508817133,0.3833515780365326,0.4227719342483324,noise,10000,winner_pool,0.8667678745865935,0.866421932149955,0.3722959917851062,0.9116441821764903,-0.00616278463692177,computed
