,dataset,data_config_signature,run_id,model,loader_kind,model_architecture,pipeline_id,pipeline_method,pipeline_kind,stage,robustness_method,base_pipeline_method,backbone_run_id,backbone_run_ids,backbone_architecture,eval_data_seed,test_metric,MSE_val,MSE_pert_ws_val,MSE_pert_mean_val,MSE_test,best_val_loss,robustness_scoring_semantics,perturbation_channel_fraction_max,perturbation_scenarios_signature,perturbation_scenarios_count,D_w,D_w_CI_lo,D_w_CI_hi,D_mean,D_mean_CI_lo,D_mean_CI_hi,err_pert_ws,err_pert_ws_CI_lo,err_pert_ws_CI_hi,err_pert_mean,err_pert_mean_CI_lo,err_pert_mean_CI_hi,MSE_w,worst_scenario,n_test_samples,selection_pool,mCE_snaive,relative_mCE_snaive,mPC,rPC,rho_eff,rho_eff_status,val_to_test_drop_abs,val_to_test_drop
23,Penmanshiel_Hourly_WT08,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,533ed0154c5c4e8195654b6e744969b6,PatchTST,PatchTST,PatchTST,baseline,baseline,train,train,baseline,,,,PatchTST,1515776824,MSE,0.3227744400501251,,,0.3539782933369628,0.3227744400501251,uniform_severity_degradation,0.5,"[""drift"",""attenuation"",""noise"",""spike"",""time_stretch"",""time_compress"",""stuck_sensor"",""missing_data""]",8,1.2020969749579795,1.1901138285871404,1.2480754964325027,1.1022719556597171,1.093285560884588,1.1126359485219182,0.42551623562115126,0.41476012992565664,0.44398141933448965,0.39018034565762294,0.37891587469200283,0.40049093321476303,0.42551623562115126,drift,10000,winner_pool,0.908671114896459,0.9088036495795564,0.39018034565762294,0.907217129915542,-0.008321314199852659,computed,-0.03120385328683767,-0.09667386699514335
27,Penmanshiel_Hourly_WT08,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,5ee5587a822c45ed8fbf5dd85e911272,Chronos2,pretrained,Chronos2,baseline,baseline,train,train,baseline,,,,Chronos2,1515776824,MSE,0.3609877824783325,,,0.4014521331300828,0.3609878420829773,uniform_severity_degradation,0.5,"[""drift"",""attenuation"",""noise"",""spike"",""time_stretch"",""time_compress"",""stuck_sensor"",""missing_data""]",8,1.1599573577847928,1.1456676674408794,1.1775815436316888,1.0518599349424453,1.0456380413780548,1.0584690630489575,0.4656673556226398,0.4505488295620248,0.48113090202027115,0.4222714146367148,0.40863813191391135,0.43565554590404465,0.4656673556226398,drift,10000,winner_pool,0.987027189002587,0.9832177763004698,0.4222714146367148,0.9506969195995825,0.01080379222316713,computed,-0.0404643506517503,-0.11209340763265052
31,Penmanshiel_Hourly_WT08,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,44d49900f195447783004972cddf02af,SeasonalNaive,SeasonalNaive,SeasonalNaive,baseline,baseline,train,train,baseline,,,,SeasonalNaive,1515776824,MSE,0.3674262464046478,,,0.3889769631446924,0.3674262464046478,uniform_severity_degradation,0.5,"[""drift"",""attenuation"",""noise"",""spike"",""time_stretch"",""time_compress"",""stuck_sensor"",""missing_data""]",8,1.3204154727826485,1.2906300803416229,1.3533358562189128,1.1069612040163612,1.0949918829306495,1.1196350362205758,0.5136112006922579,0.4946551243384145,0.5324046831934269,0.4305824074572765,0.4156490696599534,0.44493412077676,0.5136112006922579,noise,10000,winner_pool,1.0,1.0,0.4305824074572765,0.9033740264534326,-0.010965816311530707,computed,-0.02155071674004455,-0.05865317720474076
34,Penmanshiel_Hourly_WT08,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,0a3c1ca1f138463992a2135c0a32d428,ModernTCN,ModernTCN,ModernTCN,baseline,baseline,train,train,baseline,,,,ModernTCN,1515776824,MSE,0.3116857409477234,,,0.335525509723532,0.3116857409477234,uniform_severity_degradation,0.5,"[""drift"",""attenuation"",""noise"",""spike"",""time_stretch"",""time_compress"",""stuck_sensor"",""missing_data""]",8,1.183148641445075,1.1648539910389428,1.202886965368547,1.0714641225017787,1.0654213097708252,1.0781518070973175,0.3969765509995632,0.38428878040683034,0.40882647225363716,0.35950354585288624,0.3480512307448905,0.36979686527958666,0.3969765509995632,noise,10000,winner_pool,0.8382111001494363,0.8361465591322106,0.35950354585288624,0.9333023654259968,0.002448182646010766,computed,-0.023839768775808623,-0.07648655566764308
36,Penmanshiel_Hourly_WT08,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,207cb29892c64707a2a730092d2a5c23,GRU,GRU,GRU,baseline,baseline,train,train,baseline,,,,GRU,1515776824,MSE,0.29940178990364075,,,0.3455990934811067,0.29940178990364075,uniform_severity_degradation,0.5,"[""drift"",""attenuation"",""noise"",""spike"",""time_stretch"",""time_compress"",""stuck_sensor"",""missing_data""]",8,1.063679144443995,1.055935523431772,1.072394749806824,1.0272414513836818,1.0246963769756507,1.0300398564008038,0.3676065480746038,0.35722586410931984,0.37820063342044774,0.35501371438441676,0.3444575194713607,0.3652225316487379,0.3676065480746038,drift,10000,winner_pool,0.8307158932617698,0.8256602616766393,0.35501371438441676,0.9734809656025972,0.017805628947492824,computed,-0.04619730357746593,-0.15429868870301022
38,Penmanshiel_Hourly_WT08,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,81269ff3e448446eb88faf6d72b2ac76,TSMixer,TSMixer,TSMixer,baseline,baseline,train,train,baseline,,,,TSMixer,1515776824,MSE,0.3240717947483063,,,0.35292215613917216,0.32407164573669434,uniform_severity_degradation,0.5,"[""drift"",""attenuation"",""noise"",""spike"",""time_stretch"",""time_compress"",""stuck_sensor"",""missing_data""]",8,1.256385327503652,1.2356785148771328,1.2787153360486723,1.094867065431011,1.0889600818128586,1.101422303164988,0.4434062187242089,0.43125483593513086,0.45604276238386754,0.3864028454176805,0.37499594453257495,0.3966188278084989,0.4434062187242089,noise,10000,winner_pool,0.8982741828796393,0.8974688609066778,0.3864028454176805,0.9133528914821589,-0.0056832015781729806,computed,-0.028850361390865886,-0.08902459843280351
40,Penmanshiel_Hourly_WT08,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,60fed0bc9ac241f78ae88438e7a81bd7,DLinear,DLinear,DLinear,baseline,baseline,train,train,baseline,,,,DLinear,1515776824,MSE,0.3247569799423218,,,0.3402492441755021,0.32475700974464417,uniform_severity_degradation,0.5,"[""drift"",""attenuation"",""noise"",""spike"",""time_stretch"",""time_compress"",""stuck_sensor"",""missing_data""]",8,1.2593600353792047,1.233293587266708,1.2877108122241374,1.099251064760835,1.0897091026526071,1.1091898227151356,0.428496300182608,0.4139483772604313,0.44258402317309403,0.37401934394398995,0.3624576266717258,0.3852406632989002,0.428496300182608,noise,10000,winner_pool,0.8704926674979354,0.8702701830847648,0.37401934394398995,0.9097102855366086,-0.006971543894172372,computed,-0.015492264233180342,-0.04770417632265159
59,traffic,41f9af6ab1b86f6fe5ef4323c149934cbaf2f1c6c4b6bb60ffda29c7857cf618,9b012ee144c049c0acebe0ff09798ea8,Chronos2,pretrained,Chronos2,baseline,baseline,train,train,baseline,,,,Chronos2,74851880,MSE,0.43324533104896545,,,0.6015629066348076,0.43324530124664307,uniform_severity_degradation,0.5,"[""drift"",""attenuation"",""noise"",""spike"",""time_stretch"",""time_compress"",""stuck_sensor"",""missing_data""]",8,1.9111663966479222,1.8733296854387556,1.9568396854173737,1.292949117742145,1.2867304778919209,1.2998953851655934,1.1496868126302957,1.1259021780765428,1.1752093113616109,0.7777902293998749,0.7720241478325474,0.7835661308174161,1.1496868126302957,stuck_sensor,10000,winner_pool,0.5605257086537494,0.5690738939354509,0.7777902293998749,0.773425640868438,-0.07568219148484068,computed,-0.16831757558584215,-0.3885040726885961
69,traffic,41f9af6ab1b86f6fe5ef4323c149934cbaf2f1c6c4b6bb60ffda29c7857cf618,966a68733399471296c536464bc22275,PatchTST,PatchTST,PatchTST,baseline,baseline,train,train,baseline,,,,PatchTST,74851880,MSE,0.334331214427948,,,0.4527831646978855,0.3343311846256256,uniform_severity_degradation,0.5,"[""drift"",""attenuation"",""noise"",""spike"",""time_stretch"",""time_compress"",""stuck_sensor"",""missing_data""]",8,1.6762216244063644,1.6585931553675963,1.6939764371316326,1.2961403584602942,1.292348289297245,1.2999799163720671,0.758964931833744,0.7510698468337953,0.7669696736733616,0.5868705333963037,0.5836502467069821,0.5901916436183545,0.758964931833744,missing_data,10000,winner_pool,0.42334218402013385,0.42998655414295905,0.5868705333963037,0.7715213815175974,-0.03432283074010112,computed,-0.11845195026993749,-0.3542952173120083
74,traffic,41f9af6ab1b86f6fe5ef4323c149934cbaf2f1c6c4b6bb60ffda29c7857cf618,a0a6f9b2a8754ae0aaf937850b4287bf,ModernTCN,ModernTCN,ModernTCN,baseline,baseline,train,train,baseline,,,,ModernTCN,74851880,MSE,0.3998897969722748,,,0.5749438916027546,0.3998897969722748,uniform_severity_degradation,0.5,"[""drift"",""attenuation"",""noise"",""spike"",""time_stretch"",""time_compress"",""stuck_sensor"",""missing_data""]",8,1.2654827591551185,1.2594514541840258,1.2711196059406806,1.1113679660095408,1.1098685140599933,1.1128344069613196,0.7275815823048353,0.723105432023555,0.7319374398290366,0.6389742233801634,0.6358741655365191,0.6420744099805691,0.7275815823048353,missing_data,10000,winner_pool,0.4631872908029975,0.4643165023024144,0.6389742233801634,0.8997919956165221,0.03684692731527617,computed,-0.17505409463047983,-0.437755841624078
