,dataset,robustness_method,pipeline_id,model_architecture,metric_name,delta_value
0,Penmanshiel_Hourly_WT08,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.25,ModernTCN,delta_err_clean,0.001086334727297078
1,Penmanshiel_Hourly_WT08,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.35,GRU,delta_err_clean,5.302184148459066e-05
2,Penmanshiel_Hourly_WT08,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.25,PatchTST,delta_err_clean,0.0031908160599879998
3,Penmanshiel_Hourly_WT08,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.25,TSMixer,delta_err_clean,0.006903863668290433
4,Penmanshiel_Hourly_WT08,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.45,DLinear,delta_err_clean,0.0022978660401189455
5,Penmanshiel_Hourly_WT08,ensemble,ensemble_top7_mean,ModernTCN,delta_err_clean,-0.00453841999879806
6,Penmanshiel_Hourly_WT08,ensemble,ensemble_top10_mean,GRU,delta_err_clean,-0.008127769484993774
7,Penmanshiel_Hourly_WT08,ensemble,ensemble_top7_mean,PatchTST,delta_err_clean,-0.013445015391180593
8,Penmanshiel_Hourly_WT08,ensemble,ensemble_top10_mean,TSMixer,delta_err_clean,-0.006536059901991409
9,Penmanshiel_Hourly_WT08,ensemble,ensemble_top10_mean,DLinear,delta_err_clean,-0.000847769216983596
10,Penmanshiel_Hourly_WT08,fault_augmentation,fa_profholdout_simple_mix0.75_sev1.0_frac0.1,ModernTCN,delta_err_clean,0.002100539219783981
11,Penmanshiel_Hourly_WT08,fault_augmentation,fa_profholdout_varying_mix0.75_sev0.75_frac0.1,GRU,delta_err_clean,-0.0005040478804439474
12,Penmanshiel_Hourly_WT08,fault_augmentation,fa_profholdout_simple_mix1.0_sev1.0_frac0.1,PatchTST,delta_err_clean,-0.008741573739271535
13,Penmanshiel_Hourly_WT08,fault_augmentation,fa_profholdout_simple_mix0.75_sev0.75_frac0.1,TSMixer,delta_err_clean,0.0026594576099654432
14,Penmanshiel_Hourly_WT08,fault_augmentation,fa_profholdout_simple_mix0.75_sev1.0_frac0.1,DLinear,delta_err_clean,-0.0004125029878691011
15,Penmanshiel_Hourly_WT08,adversarial_training,advtrain_eps0.05_steps3_alpha0.02_channelsall,GRU,delta_err_clean,-0.005245833909255426
16,Penmanshiel_Hourly_WT08,adaptive_robust_loss,arl_alo0.001_ainit1.0_slo1e-05_sinit0.1,PatchTST,delta_err_clean,0.02967493645248037
17,Penmanshiel_Hourly_WT08,adaptive_robust_loss,arl_alo0.5_ainit1.0_slo0.01_sinit1.0,ModernTCN,delta_err_clean,0.08453498159295414
18,Penmanshiel_Hourly_WT08,adaptive_robust_loss,arl_alo0.001_ainit1.9_slo0.001_sinit1.0,GRU,delta_err_clean,0.06163741058240413
19,Penmanshiel_Hourly_WT08,adaptive_robust_loss,arl_alo0.001_ainit1.0_slo0.001_sinit0.1,TSMixer,delta_err_clean,0.008097085133820625
20,Penmanshiel_Hourly_WT08,adaptive_robust_loss,arl_alo0.001_ainit1.0_slo0.001_sinit0.1,DLinear,delta_err_clean,0.017511915263034417
21,Penmanshiel_Hourly_WT08,adversarial_training,advtrain_eps0.05_steps7_alpha0.02_channelsall,PatchTST,delta_err_clean,-0.006792212600324976
22,Penmanshiel_Hourly_WT08,randomized_training,rt_spaceraw_std0.1_channelscontinuous,PatchTST,delta_err_clean,-0.005532569425574896
23,Penmanshiel_Hourly_WT08,adversarial_training,advtrain_eps0.2_steps3_alpha0.02_channelsall,ModernTCN,delta_err_clean,0.003446264170040403
24,Penmanshiel_Hourly_WT08,adversarial_training,advtrain_eps0.1_steps3_alpha0.02_channelsall,TSMixer,delta_err_clean,-0.01694161552936424
25,Penmanshiel_Hourly_WT08,adversarial_training,advtrain_eps0.05_steps7_alpha0.02_channelsall,DLinear,delta_err_clean,-0.0019087409218657148
26,Penmanshiel_Hourly_WT08,randomized_training,rt_spaceraw_std0.2_channelscontinuous,GRU,delta_err_clean,-0.008668331566674181
27,Penmanshiel_Hourly_WT08,randomized_training,rt_spaceraw_std0.1_channelscontinuous,TSMixer,delta_err_clean,-0.0006241372870630646
28,Penmanshiel_Hourly_WT08,randomized_training,rt_spaceraw_std0.1_channelscontinuous,DLinear,delta_err_clean,0.0007060926429112158
29,Penmanshiel_Hourly_WT08,revin,revin_affineFalse_eps1e-5,ModernTCN,delta_err_clean,-0.004532002678757974
