,dataset,pipeline_id,robustness_method,model_architecture,metric_name,delta_value
0,Penmanshiel_Hourly_WT08,rs_backbonebaseline_std0.25_samples30_alpha0.25,randomized_smoothing,ModernTCN,MSE_test,0.001086334727297078
1,Penmanshiel_Hourly_WT08,rs_backbonebaseline_std0.25_samples30_alpha0.25,randomized_smoothing,ModernTCN,MSE_w,0.0007086522758938396
2,Penmanshiel_Hourly_WT08,rs_backbonebaseline_std0.25_samples30_alpha0.25,randomized_smoothing,ModernTCN,D_w,-0.0017130804823670687
3,Penmanshiel_Hourly_WT08,rs_backbonebaseline_std0.25_samples30_alpha0.25,randomized_smoothing,ModernTCN,D_mean,2.9874459536172182e-05
4,Penmanshiel_Hourly_WT08,rs_backbonebaseline_std0.25_samples30_alpha0.25,randomized_smoothing,ModernTCN,err_pert_ws,0.0007086522758938396
5,Penmanshiel_Hourly_WT08,rs_backbonebaseline_std0.25_samples30_alpha0.25,randomized_smoothing,ModernTCN,err_pert_mean,0.0011740247822530359
6,Penmanshiel_Hourly_WT08,rs_backbonebaseline_std0.25_samples30_alpha0.25,randomized_smoothing,ModernTCN,mCE_snaive,0.002774514119348148
7,Penmanshiel_Hourly_WT08,rs_backbonebaseline_std0.25_samples30_alpha0.25,randomized_smoothing,ModernTCN,relative_mCE_snaive,0.0027763410274446176
8,Penmanshiel_Hourly_WT08,rs_backbonebaseline_std0.25_samples30_alpha0.25,randomized_smoothing,ModernTCN,err_clean,0.001086334727297078
9,Penmanshiel_Hourly_WT08,rs_backbonebaseline_std0.25_samples30_alpha0.25,randomized_smoothing,ModernTCN,tau_mean,-0.0011740247822530359
10,Penmanshiel_Hourly_WT08,rs_backbonebaseline_std0.25_samples30_alpha0.35,randomized_smoothing,GRU,MSE_test,5.302184148459066e-05
11,Penmanshiel_Hourly_WT08,rs_backbonebaseline_std0.25_samples30_alpha0.35,randomized_smoothing,GRU,MSE_w,7.99018726392875e-05
12,Penmanshiel_Hourly_WT08,rs_backbonebaseline_std0.25_samples30_alpha0.35,randomized_smoothing,GRU,D_w,6.799798007928182e-05
13,Penmanshiel_Hourly_WT08,rs_backbonebaseline_std0.25_samples30_alpha0.35,randomized_smoothing,GRU,D_mean,0.00017603713534319887
