,dataset,data_config_signature,run_id,model,loader_kind,model_architecture,pipeline_id,pipeline_method,pipeline_kind,stage,robustness_method,base_pipeline_method,backbone_run_id,backbone_run_ids,backbone_architecture,eval_data_seed,test_metric,MSE_val,MSE_pert_ws_val,MSE_pert_mean_val,MSE_test_improved,best_val_loss,robustness_scoring_semantics,perturbation_channel_fraction_max,perturbation_scenarios_signature,perturbation_scenarios_count,D_w_improved,D_w_CI_lo,D_w_CI_hi,D_mean_improved,D_mean_CI_lo,D_mean_CI_hi,err_pert_ws_improved,err_pert_ws_CI_lo,err_pert_ws_CI_hi,err_pert_mean_improved,err_pert_mean_CI_lo,err_pert_mean_CI_hi,MSE_w_improved,worst_scenario_improved,n_test_samples,selection_pool,mCE_snaive_improved,relative_mCE_snaive_improved,mPC,rPC,rho_eff,rho_eff_status,selection_metric,selection_value,MSE_test_baseline,MSE_w_baseline,D_w_baseline,D_mean_baseline,err_pert_ws_baseline,err_pert_mean_baseline,mCE_snaive_baseline,relative_mCE_snaive_baseline,matched_baseline_run_id,worst_scenario_baseline,architecture_family,delta_MSE_test,pct_change_MSE_test,delta_MSE_w,pct_change_MSE_w,delta_D_w,pct_change_D_w,delta_D_mean,pct_change_D_mean,delta_err_pert_ws,pct_change_err_pert_ws,delta_err_pert_mean,pct_change_err_pert_mean,delta_mCE_snaive,pct_change_mCE_snaive,delta_relative_mCE_snaive,pct_change_relative_mCE_snaive,delta_err_clean,tau_mean,tau_mean_status,tau_mean_base_run_id
0,Penmanshiel_Hourly_WT08,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,e78f42efaca24d7996939c737115cc9e,RandomizedSmoothing,RandomizedSmoothing,ModernTCN,rs_backbonebaseline_std0.25_samples30_alpha0.25,randomized_smoothing,wrap,improve,randomized_smoothing,baseline,0a3c1ca1f138463992a2135c0a32d428,,ModernTCN,1515776824,MSE,0.31191471219062805,,,0.3366118444508291,0.3116857409477234,uniform_severity_degradation,0.5,"[""drift"",""attenuation"",""noise"",""spike"",""time_stretch"",""time_compress"",""stuck_sensor"",""missing_data""]",8,1.1814355609627079,1.162861552010243,1.2011976355035043,1.0714939969613149,1.0650897865317102,1.0783612222165015,0.39768520327545703,0.3850157217762128,0.4096326469090098,0.3606775706351393,0.34925555566381417,0.3711219042346137,0.39768520327545703,noise,10000,winner_pool,0.8409856142687845,0.8389229001596552,0.3606775706351393,0.933276343904803,0.0024461199742302764,computed,MSE_val,0.31191471219062805,0.335525509723532,0.3969765509995632,1.183148641445075,1.0714641225017787,0.3969765509995632,0.35950354585288624,0.8382111001494363,0.8361465591322106,0a3c1ca1f138463992a2135c0a32d428,noise,Convolution,0.001086334727297078,0.3237711279217492,0.0007086522758938396,0.17851237664025635,-0.0017130804823670687,-0.14478996318457038,2.9874459536172182e-05,0.0027881903750932723,0.0007086522758938396,0.17851237664025635,0.0011740247822530359,0.3265683456522743,0.002774514119348148,0.331004220637678,0.0027763410274446176,0.3320399991032703,0.001086334727297078,-0.0011740247822530359,computed:lineage,0a3c1ca1f138463992a2135c0a32d428
1,Penmanshiel_Hourly_WT08,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,91d651009a96427f8455883dcacee85d,RandomizedSmoothing,RandomizedSmoothing,GRU,rs_backbonebaseline_std0.25_samples30_alpha0.35,randomized_smoothing,wrap,improve,randomized_smoothing,baseline,207cb29892c64707a2a730092d2a5c23,,GRU,1515776824,MSE,0.29957959055900574,,,0.34565211532259127,0.29940178990364075,uniform_severity_degradation,0.5,"[""drift"",""attenuation"",""noise"",""spike"",""time_stretch"",""time_compress"",""stuck_sensor"",""missing_data""]",8,1.0637471424240743,1.056291098058141,1.0726876231124352,1.027417488519025,1.0248609402820765,1.0301898064968649,0.3676864499472431,0.3571993548546533,0.37834815970639757,0.3551290282260252,0.3445940292990211,0.3653620366758865,0.3676864499472431,drift,10000,winner_pool,0.8309935471210826,0.8259528471477413,0.3551290282260252,0.9733141699207921,0.017747516341398373,computed,MSE_val,0.29957959055900574,0.3455990934811067,0.3676065480746038,1.063679144443995,1.0272414513836818,0.3676065480746038,0.35501371438441676,0.8307158932617698,0.8256602616766393,207cb29892c64707a2a730092d2a5c23,drift,Recurrent,5.302184148459066e-05,0.015342008264697393,7.99018726392875e-05,0.021735704398571223,6.799798007928182e-05,0.006392715362942049,0.00017603713534319887,0.01713688004958123,7.99018726392875e-05,0.021735704398571223,0.00011531384160845537,0.032481517455855514,0.00027765385931288744,0.03342344375074993,0.0002925854711020026,0.0354365451121336,5.302184148459066e-05,-0.00011531384160845537,computed:lineage,207cb29892c64707a2a730092d2a5c23
2,Penmanshiel_Hourly_WT08,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,942603ee56af4830bbd328dfe54df3cf,RandomizedSmoothing,RandomizedSmoothing,PatchTST,rs_backbonebaseline_std0.25_samples30_alpha0.25,randomized_smoothing,wrap,improve,randomized_smoothing,baseline,533ed0154c5c4e8195654b6e744969b6,,PatchTST,1515776824,MSE,0.32523441314697266,,,0.3571691093969508,0.3227744400501251,uniform_severity_degradation,0.5,"[""drift"",""attenuation"",""noise"",""spike"",""time_stretch"",""time_compress"",""stuck_sensor"",""missing_data""]",8,1.2050371583771515,1.1900436040640245,1.2439893569999407,1.1015558920298072,1.0921984750301157,1.1117925777815816,0.4304020486477995,0.41926444964009063,0.446392345155192,0.39344173690724993,0.3820075345581656,0.40358993531198945,0.4304020486477995,drift,10000,winner_pool,0.9164166638199729,0.9165185446660771,0.39344173690724993,0.9078068641231877,-0.008140370912493256,computed,MSE_val,0.32523441314697266,0.3539782933369628,0.42551623562115126,1.2020969749579795,1.1022719556597171,0.42551623562115126,0.39018034565762294,0.908671114896459,0.9088036495795564,533ed0154c5c4e8195654b6e744969b6,drift,Attention,0.0031908160599879998,0.9014157421654565,0.004885813026648256,1.148208368481204,0.0029401834191720155,0.24458787272755533,-0.0007160636299099465,-0.06496251911638065,0.004885813026648256,1.148208368481204,0.003261391249626988,0.8358676406752705,0.0077455489235138675,0.8524039992617631,0.007714895086520679,0.8489067016940186,0.0031908160599879998,-0.003261391249626988,computed:lineage,533ed0154c5c4e8195654b6e744969b6
3,Penmanshiel_Hourly_WT08,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,3535a87476fd41a2b9540ad341962848,RandomizedSmoothing,RandomizedSmoothing,TSMixer,rs_backbonebaseline_std0.25_samples30_alpha0.25,randomized_smoothing,wrap,improve,randomized_smoothing,baseline,81269ff3e448446eb88faf6d72b2ac76,,TSMixer,1515776824,MSE,0.32738178968429565,,,0.3598260198074626,0.32407164573669434,uniform_severity_degradation,0.5,"[""drift"",""attenuation"",""noise"",""spike"",""time_stretch"",""time_compress"",""stuck_sensor"",""missing_data""]",8,1.2502935165395157,1.2298418402702862,1.271339373923985,1.0923604139169942,1.0864520051242863,1.0986056278317966,0.44988813964748986,0.438167024217663,0.4630413038959366,0.39305969993498435,0.38181296334876824,0.4031104754635592,0.44988813964748986,noise,10000,winner_pool,0.9139396237829145,0.9129448438902388,0.39305969993498435,0.9154487724561462,-0.004891989228929028,computed,MSE_val,0.32738178968429565,0.35292215613917216,0.4434062187242089,1.256385327503652,1.094867065431011,0.4434062187242089,0.3864028454176805,0.8982741828796393,0.8974688609066778,81269ff3e448446eb88faf6d72b2ac76,noise,Fully Connected,0.006903863668290433,1.9562001274773884,0.006481920923280982,1.4618470940554458,-0.006091810964136357,-0.48486804412467555,-0.0025066515140168555,-0.22894574082654262,0.006481920923280982,1.4618470940554458,0.006656854517303856,1.722775749776935,0.015665440903275152,1.7439486964943953,0.01547598298356101,1.7244033367270513,0.006903863668290433,-0.006656854517303856,computed:lineage,81269ff3e448446eb88faf6d72b2ac76
4,Penmanshiel_Hourly_WT08,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,74818a93229d4d57978a8241f637c00c,RandomizedSmoothing,RandomizedSmoothing,DLinear,rs_backbonebaseline_std0.25_samples30_alpha0.45,randomized_smoothing,wrap,improve,randomized_smoothing,baseline,60fed0bc9ac241f78ae88438e7a81bd7,,DLinear,1515776824,MSE,0.32581233978271484,,,0.34254711021562106,0.32475700974464417,uniform_severity_degradation,0.5,"[""drift"",""attenuation"",""noise"",""spike"",""time_stretch"",""time_compress"",""stuck_sensor"",""missing_data""]",8,1.2559659700426895,1.2297306185167456,1.2835620268266488,1.0981522482256036,1.0881978033029676,1.1087112744594594,0.43022751356728256,0.4159373978248604,0.44435094475735704,0.3761688792064679,0.36466287268484676,0.38740638536090877,0.43022751356728256,noise,10000,winner_pool,0.875562510426276,0.8752632202716759,0.3761688792064679,0.9106205461180832,-0.006642087846112754,computed,MSE_val,0.32581233978271484,0.3402492441755021,0.428496300182608,1.2593600353792047,1.099251064760835,0.428496300182608,0.37401934394398995,0.8704926674979354,0.8702701830847648,60fed0bc9ac241f78ae88438e7a81bd7,noise,Fully Connected,0.0022978660401189455,0.6753478749635945,0.0017312133846745792,0.4040206143989587,-0.0033940653365152063,-0.2695071497558855,-0.0010988165352312507,-0.09996047040175679,0.0017312133846745792,0.4040206143989587,0.002149535262477964,0.5747123236491909,0.005069842928340562,0.5824107563034224,0.004993037186911131,0.5737341441726502,0.0022978660401189455,-0.002149535262477964,computed:lineage,60fed0bc9ac241f78ae88438e7a81bd7
5,Penmanshiel_Hourly_WT08,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,267c69033e154f2582995bc10fbbc659,Ensemble,Ensemble,ModernTCN,ensemble_top7_mean,ensemble,wrap,improve,ensemble,baseline,,"0a3c1ca1f138463992a2135c0a32d428,f76e7cceb950487aa248426ae1f8e0ed,c2b020d12cff4c6e8cf9d64c1f7f874b,534b1529b3674f06bee8114a955de664,64e1a6462eeb4e7ea686095a17fc7250,e0bec81494d94576bba93f1063ca9729,62582f1968d64227ace89d3c1f550670",ModernTCN,1515776824,MSE,0.30929648876190186,,,0.33098708972473395,0.3116857409477234,uniform_severity_degradation,0.5,"[""drift"",""attenuation"",""noise"",""spike"",""time_stretch"",""time_compress"",""stuck_sensor"",""missing_data""]",8,1.177388338126221,1.1587778337273422,1.1975237975952184,1.0700618523698409,1.0638789498696104,1.0771718268098622,0.38970033951223887,0.3773105295032093,0.40184094195695974,0.3541766583413515,0.3430453251000974,0.36440612126169614,0.38970033951223887,noise,10000,winner_pool,0.8260126262361092,0.8239131294699016,0.3541766583413515,0.9345254181198251,0.002878923881486639,computed,MSE_val,0.30929648876190186,0.335525509723532,0.3969765509995632,1.183148641445075,1.0714641225017787,0.3969765509995632,0.35950354585288624,0.8382111001494363,0.8361465591322106,0a3c1ca1f138463992a2135c0a32d428,noise,Convolution,-0.00453841999879806,-1.3526303864459217,-0.0072762114873243244,-1.8329071248675166,-0.005760303318854021,-0.4868621842660866,-0.0014022701319378328,-0.1308742031103804,-0.0072762114873243244,-1.8329071248675166,-0.005326887511534761,-1.4817343453170269,-0.012198473913327179,-1.4552985412806434,-0.012233429662309003,-1.4630724157981814,-0.00453841999879806,0.005326887511534761,computed:matched_baseline,0a3c1ca1f138463992a2135c0a32d428
6,Penmanshiel_Hourly_WT08,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,44b1104ae55f4888a45c4a6bbecc6af1,Ensemble,Ensemble,GRU,ensemble_top10_mean,ensemble,wrap,improve,ensemble,baseline,,"207cb29892c64707a2a730092d2a5c23,c5f8b499dcea47f79cc03b0ffb597fb9,447315075dae4f19b487cfe8d0a8fe91,6328c6c4af0e41c18e408fd583a21eee,f3efbdce366045cfbe1b8aaad0e8691f,6572f0f3b59c45908ea2e79f2b6215bb,762e808cf974466eacb94d91757e321a,480356a20f7649fc902d747bf8673cca,b79fa15009b74f4495f3803a29623fe0,3a18295cc7494834b016de62ee14df63",GRU,1515776824,MSE,0.2959790825843811,,,0.3374713239961129,0.29940178990364075,uniform_severity_degradation,0.5,"[""drift"",""attenuation"",""noise"",""spike"",""time_stretch"",""time_compress"",""stuck_sensor"",""missing_data""]",8,1.065010597123925,1.0568340586061507,1.0740049309327744,1.0262896513879947,1.023835103303917,1.0289826431554847,0.35941053628130176,0.3488428529008101,0.3696842578339981,0.34634332745741575,0.33577721572692343,0.3563816278914445,0.35941053628130176,drift,10000,winner_pool,0.8104046168721469,0.8053880386239605,0.34634332745741575,0.9743837898468141,0.01770758898989999,computed,MSE_val,0.2959790825843811,0.3455990934811067,0.3676065480746038,1.063679144443995,1.0272414513836818,0.3676065480746038,0.35501371438441676,0.8307158932617698,0.8256602616766393,207cb29892c64707a2a730092d2a5c23,drift,Recurrent,-0.008127769484993774,-2.3517913207252397,-0.008196011793302038,-2.229560881390693,0.0013314526799299564,0.12517427711962253,-0.0009517999956871748,-0.09265591788620987,-0.008196011793302038,-2.229560881390693,-0.008670386927001006,-2.4422681647764506,-0.020311276389622823,-2.4450328390698632,-0.02027222305267884,-2.455274159799425,-0.008127769484993774,0.008670386927001006,computed:matched_baseline,207cb29892c64707a2a730092d2a5c23
7,Penmanshiel_Hourly_WT08,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,29517173c81049f19b34e11332f2ecbd,Ensemble,Ensemble,PatchTST,ensemble_top7_mean,ensemble,wrap,improve,ensemble,baseline,,"533ed0154c5c4e8195654b6e744969b6,8bea439639da4ae0b728f974f654377a,d9168fd9e6354e778514e4f5b9238d41,e5874a5cb6d040368e959761f5a0cdcd,5767142541d74860a384091aef8ebcae,22c7ccbd127948a3a73142b927c39f56,7615ad55a9c04e308d4d56c7d2b99f60",PatchTST,1515776824,MSE,0.3191685676574707,,,0.3405332779457822,0.3227744400501251,uniform_severity_degradation,0.5,"[""drift"",""attenuation"",""noise"",""spike"",""time_stretch"",""time_compress"",""stuck_sensor"",""missing_data""]",8,1.2203574312550096,1.205224205450051,1.2636517678016022,1.1088091469206744,1.0984940880691902,1.1203558675024807,0.41557231633076297,0.4039468656570899,0.43427762403181175,0.3775864134171637,0.36614394629725994,0.3881013705034753,0.41557231633076297,noise,10000,winner_pool,0.8789678367545074,0.8795327976452879,0.3775864134171637,0.9018684620136356,-0.010232191183616346,computed,MSE_val,0.3191685676574707,0.3539782933369628,0.42551623562115126,1.2020969749579795,1.1022719556597171,0.42551623562115126,0.39018034565762294,0.908671114896459,0.9088036495795564,533ed0154c5c4e8195654b6e744969b6,drift,Attention,-0.013445015391180593,-3.798259849335414,-0.009943919290388292,-2.3369071396001058,0.018260456297030103,1.5190501829245862,0.006537191260957309,0.5930651893474652,-0.009943919290388292,-2.3369071396001058,-0.012593932240459238,-3.2277208169552996,-0.029703278141951617,-3.2688700735619,-0.029270851934268483,-3.2208114423627348,-0.013445015391180593,0.012593932240459238,computed:matched_baseline,533ed0154c5c4e8195654b6e744969b6
8,Penmanshiel_Hourly_WT08,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,29e5bde26f224b84b86a34b701c5437f,Ensemble,Ensemble,TSMixer,ensemble_top10_mean,ensemble,wrap,improve,ensemble,baseline,,"81269ff3e448446eb88faf6d72b2ac76,df78767a19b443d1913c0f402b7b9f7a,e7cb7274794c47ef8c9c0dbe6fdf1fa8,3191deaf401d488299bd641311b273b3,f04f1d3799ff4a9fb9dd0ae04cc24cff,93c2fb8b5241404294fb9c2d1d7e2d47,99e1835573f74124adaf05ae41105390,d1b14ec49ae045e794aadb499fc93bd6,ac8d4aafa1894aaaad261eecc1c627e4,b6d313d3e6554fdf8e9e5dffb3bb982f",TSMixer,1515776824,MSE,0.3139127790927887,,,0.34638609623718075,0.32407164573669434,uniform_severity_degradation,0.5,"[""drift"",""attenuation"",""noise"",""spike"",""time_stretch"",""time_compress"",""stuck_sensor"",""missing_data""]",8,1.1396484200425598,1.127343703587451,1.1548011736432864,1.05863655115844,1.0542242685591487,1.0633852366981837,0.3947583673014131,0.38280615067265183,0.4060626195243119,0.3666969822897645,0.3547661869122638,0.3769371537139106,0.3947583673014131,noise,10000,winner_pool,0.8551587937600291,0.8520258728753873,0.3666969822897645,0.944611253886638,0.0069713985607028905,computed,MSE_val,0.3139127790927887,0.35292215613917216,0.4434062187242089,1.256385327503652,1.094867065431011,0.4434062187242089,0.3864028454176805,0.8982741828796393,0.8974688609066778,81269ff3e448446eb88faf6d72b2ac76,noise,Fully Connected,-0.006536059901991409,-1.8519834440243994,-0.04864785142279576,-10.971395837155342,-0.11673690746109222,-9.291489235475245,-0.03623051427257118,-3.309124497073851,-0.04864785142279576,-10.971395837155342,-0.019705863127916,-5.099823503270281,-0.043115389119610215,-4.7998027708414375,-0.04544298803129043,-5.063461253171632,-0.006536059901991409,0.019705863127916,computed:matched_baseline,81269ff3e448446eb88faf6d72b2ac76
9,Penmanshiel_Hourly_WT08,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,401408fed7a842bbb15e7b4784c89b21,Ensemble,Ensemble,DLinear,ensemble_top10_mean,ensemble,wrap,improve,ensemble,baseline,,"60fed0bc9ac241f78ae88438e7a81bd7,03a611b601ec400695a85a06228c0fe7,7dd5201e142847de977bc4d5b42bb539,f5ebe6a0ea1f48fc8e8d26cfcb2749fc,1d0a9933f30841888ba0bb7684d97cd2,7896f95de6ae4b58b66b3f276bb460bc,e8fb408f03be445580fdd56b906b1f7d,690f9e263fea434294d9d16f05cb3aca,57c1215fbadc495b83bf650c31ab0b75,08390dcb7b9c40d4bf436b900b7b541b",DLinear,1515776824,MSE,0.324107825756073,,,0.3394014749585185,0.32475700974464417,uniform_severity_degradation,0.5,"[""drift"",""attenuation"",""noise"",""spike"",""time_stretch"",""time_compress"",""stuck_sensor"",""missing_data""]",8,1.2456396493268138,1.2206886206666145,1.2724974851756805,1.0969191923240993,1.087747668152612,1.1064569727654805,0.4227719342483324,0.40859577158234694,0.4368600153671324,0.3722959917851062,0.36087532508817133,0.3833515780365326,0.4227719342483324,noise,10000,winner_pool,0.8667678745865935,0.866421932149955,0.3722959917851062,0.9116441821764903,-0.00616278463692177,computed,MSE_val,0.324107825756073,0.3402492441755021,0.428496300182608,1.2593600353792047,1.099251064760835,0.428496300182608,0.37401934394398995,0.8704926674979354,0.8702701830847648,60fed0bc9ac241f78ae88438e7a81bd7,noise,Fully Connected,-0.000847769216983596,-0.24916123444680238,-0.005724365934275555,-1.335919570795841,-0.013720386052390898,-1.089472880426888,-0.0023318724367356047,-0.2121328340257694,-0.005724365934275555,-1.335919570795841,-0.0017233521588837508,-0.46076551568461815,-0.0037247929113418676,-0.4278948060582833,-0.0038482509348097826,-0.4421903691068962,-0.000847769216983596,0.0017233521588837508,computed:matched_baseline,60fed0bc9ac241f78ae88438e7a81bd7
