,dataset,robustness_method,selection_metric_name,selection_score,architectures_covered,variant_count,run_count,method_rank
0,BeijingAir_Tiantan,ensemble,MSE_val,0.21455961763858794,5,3,5,1
1,BeijingAir_Tiantan,randomized_smoothing,MSE_val,0.2221653789281845,5,1,5,2
2,BeijingAir_Tiantan,adaptive_robust_loss,best_val_loss,0.18702869713306428,5,4,5,1
3,BeijingAir_Tiantan,fault_augmentation,best_val_loss,0.21874013245105745,5,4,5,2
4,BeijingAir_Tiantan,adversarial_training,best_val_loss,0.2210087150335312,5,3,5,3
5,BeijingAir_Tiantan,revin,best_val_loss,0.23722150176763535,4,1,4,4
6,BeijingAir_Tiantan,randomized_training,best_val_loss,0.2449117422103882,5,1,5,5
7,ETTh1,ensemble,MSE_val,0.389580625295639,5,3,5,1
8,ETTh1,randomized_smoothing,MSE_val,0.392696213722229,5,2,5,2
9,ETTh1,revin,best_val_loss,0.36787109076976776,4,2,4,1
10,ETTh1,adversarial_training,best_val_loss,0.3859898686408997,5,3,5,2
11,ETTh1,fault_augmentation,best_val_loss,0.3956116497516632,5,4,5,3
12,ETTh1,randomized_training,best_val_loss,0.3992475211620331,5,2,5,4
13,ETTh1,adaptive_robust_loss,best_val_loss,0.8279320359230041,5,4,5,5
14,Penmanshiel_Hourly_WT08,ensemble,MSE_val,0.3124929487705231,5,2,5,1
15,Penmanshiel_Hourly_WT08,randomized_smoothing,MSE_val,0.3179845690727234,5,3,5,2
16,Penmanshiel_Hourly_WT08,adversarial_training,best_val_loss,0.3125632703304291,5,4,5,1
17,Penmanshiel_Hourly_WT08,fault_augmentation,best_val_loss,0.3163477599620819,5,4,5,2
18,Penmanshiel_Hourly_WT08,revin,best_val_loss,0.317602701485157,4,2,4,3
19,Penmanshiel_Hourly_WT08,randomized_training,best_val_loss,0.31953840255737304,5,2,5,4
20,Penmanshiel_Hourly_WT08,adaptive_robust_loss,best_val_loss,0.8127548098564148,5,4,5,5
21,traffic,ensemble,MSE_val,0.42072572708129885,5,3,5,1
22,traffic,randomized_smoothing,MSE_val,0.4407061278820038,5,2,5,2
23,traffic,adaptive_robust_loss,best_val_loss,0.3070764999836683,5,5,5,1
24,traffic,revin,best_val_loss,0.41903404891490936,4,2,4,2
25,traffic,fault_augmentation,best_val_loss,0.42790758013725283,5,4,5,3
26,traffic,adversarial_training,best_val_loss,0.4280455529689789,5,5,5,4
27,traffic,randomized_training,best_val_loss,0.43452650904655454,5,2,5,5
