,pipeline_id,count
0,baseline,28
1,rs_backbonebaseline_std0.25_samples30_alpha0.25,16
2,rt_spaceraw_std0.1_channelscontinuous,16
3,revin_affineFalse_eps1e-5,9
4,ensemble_top10_mean,8
5,fa_profholdout_varying_mix0.75_sev0.75_frac0.1,7
6,advtrain_eps0.05_steps7_alpha0.02_channelsall,7
7,revin_affineTrue_eps1e-5,7
8,ensemble_top5_mean,5
9,ensemble_top3_mean,5
10,arl_alo0.001_ainit1.0_slo1e-05_sinit0.1,5
11,arl_alo0.001_ainit1.0_slo0.001_sinit0.1,4
12,advtrain_eps0.05_steps3_alpha0.02_channelsall,4
13,advtrain_eps0.1_steps3_alpha0.02_channelsall,3
14,fa_profholdout_simple_mix0.75_sev0.75_frac0.25,3
15,rt_spaceraw_std0.2_channelscontinuous,3
16,ensemble_top7_mean,2
17,fa_profholdout_simple_mix0.75_sev1.0_frac0.1,2
18,arl_alo0.001_ainit1.0_slo0.01_sinit0.1,2
19,advtrain_eps0.2_steps7_alpha0.02_channelsall,2
20,advtrain_eps0.1_steps5_alpha0.02_channelsall,2
21,fa_profholdout_simple_mix1.0_sev0.75_frac0.1,2
22,arl_alo0.5_ainit1.0_slo0.01_sinit1.0,2
23,rs_backbonebaseline_std0.5_samples30_alpha0.25,2
24,rs_backbonebaseline_std0.25_samples30_alpha0.45,1
25,rs_backbonebaseline_std0.25_samples30_alpha0.35,1
26,fa_profholdout_simple_mix0.75_sev0.75_frac0.1,1
27,fa_profholdout_simple_mix1.0_sev1.0_frac0.1,1
28,arl_alo0.001_ainit1.9_slo0.001_sinit1.0,1
29,advtrain_eps0.2_steps3_alpha0.02_channelsall,1
30,arl_alo0.001_ainit1.0_slo0.01_sinit1.0,1
31,advtrain_eps0.05_steps5_alpha0.02_channelsall,1
32,rt_spaceraw_std0.3_channelscontinuous,1
33,fa_profholdout_varying_mix1.0_sev1.0_frac0.1,1
34,arl_alo0.001_ainit1.0_slo1e-05_sinit1.0,1
35,arl_alo0.001_ainit1.5_slo0.001_sinit0.1,1
36,fa_profholdout_varying_mix0.75_sev1.0_frac0.1,1
37,arl_alo0.001_ainit1.9_slo0.01_sinit0.1,1
38,fa_profholdout_simple_mix1.0_sev1.0_frac0.25,1
39,arl_alo0.001_ainit1.9_slo0.001_sinit0.1,1
40,fa_profholdout_simple_mix0.75_sev1.0_frac0.25,1
41,arl_alo0.25_ainit1.0_slo1e-05_sinit1.0,1
