,dataset,robustness_method,count,delta_bootstrap_semantics,delta_bootstrap_resamples,delta_bootstrap_confidence_level,delta_bootstrap_seed,delta_err_clean_mean,delta_err_clean_CI_lo,delta_err_clean_CI_hi,delta_D_w_mean,delta_D_w_CI_lo,delta_D_w_CI_hi,delta_D_mean_mean,delta_D_mean_CI_lo,delta_D_mean_CI_hi,delta_err_pert_ws_mean,delta_err_pert_ws_CI_lo,delta_err_pert_ws_CI_hi,delta_err_pert_mean_mean,delta_err_pert_mean_CI_lo,delta_err_pert_mean_CI_hi
0,BeijingAir_Tiantan,adaptive_robust_loss,5,method_delta_pair_percentile,1000,0.95,1064475336,0.001339856342293777,-0.024890695273088157,0.033915509259083175,-0.024064137140903875,-0.07544253350266958,0.02731204130819833,0.0031680066707219013,-0.012628580720069138,0.02045401417864409,-0.00538973545366056,-0.03228760425823683,0.03958255984655259,0.00296323253438876,-0.022368178178599242,0.040717651010497645
1,BeijingAir_Tiantan,adversarial_training,5,method_delta_pair_percentile,1000,0.95,1517411691,0.004245771662835018,-0.0055734266470998444,0.013632193129499759,-0.13631555085583238,-0.24593479845349994,-0.03261409453434179,-0.03361907849484051,-0.06042402299614098,-0.008777779069241464,-0.0380576704940462,-0.08053688543098805,-0.008511081915418061,-0.005786224129033557,-0.016843425553448043,0.004428962435832129
2,BeijingAir_Tiantan,ensemble,5,method_delta_pair_percentile,1000,0.95,214078622,-0.00913728069080535,-0.026241644574056543,0.0033223008721804835,0.007420928413469996,-0.011452493483936888,0.025609447740493042,0.006306667450347492,0.0006898664931039633,0.012938123253081902,-0.008994111425106265,-0.02349023398989262,0.005054196557512891,-0.008026116659010995,-0.024570309255202004,0.005553464858676527
3,BeijingAir_Tiantan,fault_augmentation,5,method_delta_pair_percentile,1000,0.95,923069304,0.004758182748051176,-0.0007939147768088683,0.01264532179672313,-0.03874659191104546,-0.06205191517620666,-0.01136167384757889,-0.011423013135713988,-0.015354531662149265,-0.006053151587382999,-0.006653652018688461,-0.021005536999764752,0.011227808028452007,0.001663214202613683,-0.005760947029259,0.010390005015290527
4,BeijingAir_Tiantan,randomized_smoothing,5,method_delta_pair_percentile,1000,0.95,382824971,0.001564202198561382,-0.002316992500241921,0.005083272589013188,0.0009195012762837074,-0.005570267730130851,0.005743092553805384,-0.0004222409576087216,-0.003390908084276134,0.0021610082548127797,0.0030917560042877266,-0.00027611556462625586,0.006459075063927145,0.0018802594739624312,-0.0011955601648595438,0.004723598435488774
5,BeijingAir_Tiantan,randomized_training,5,method_delta_pair_percentile,1000,0.95,723857218,0.025726114694268033,0.002511890169815745,0.06632480301406904,-0.14596610300329843,-0.24611627749804507,-0.047733753221431544,-0.04219235310696958,-0.061736169294995945,-0.022849319415802684,-0.017751932500089173,-0.07411899446042809,0.0414134921221732,0.014022235585022025,-0.015212603323321576,0.0611345373610397
6,BeijingAir_Tiantan,revin,4,method_delta_pair_percentile,1000,0.95,1859256670,0.005075196583606861,-0.014128980438053981,0.020157731648207083,0.052971937630604204,-0.12726566357255875,0.23320953883376716,0.02525603632873491,-0.01763497887219989,0.06814705152966971,0.024676873021829485,-0.030072620269902095,0.0749556459542904,0.014437635116387806,-0.0030915087887710413,0.031966779021546654
7,ETTh1,adaptive_robust_loss,5,method_delta_pair_percentile,1000,0.95,80347924,0.032791807391047464,0.006282662698194374,0.06782199283851682,0.000656757986900125,-0.013069510943341056,0.012396365601970327,-0.01064021986841257,-0.019542262582210236,-0.0014669090499126903,0.03703994397476314,0.012218676921781118,0.06714304726034404,0.028435101242698723,0.004946040696438922,0.057075459830686424
8,ETTh1,adversarial_training,5,method_delta_pair_percentile,1000,0.95,105662195,-0.005429196784198287,-0.019526028633415717,0.0037277096939086984,0.00010075451555628945,-0.0030277308253589207,0.002506126169926981,-0.003939704085663198,-0.006027348791954434,-0.0016659453604705554,-0.005266232761591705,-0.019252737862914836,0.0039377208364493625,-0.007187402156619382,-0.019474147759750492,0.002452551528423304
9,ETTh1,ensemble,5,method_delta_pair_percentile,1000,0.95,1372331140,-0.004534192587733276,-0.007531731053888801,-0.001056026278138178,-0.004580797383715263,-0.01013341252312159,0.0006193971000223897,-0.004172121477805613,-0.006934395384593816,-0.0008718931615578019,-0.007146638750731937,-0.010425735078155984,-0.002631055372685182,-0.006923872544681653,-0.010752729669101523,-0.002065977056035795
10,ETTh1,fault_augmentation,5,method_delta_pair_percentile,1000,0.95,1614514293,0.0030801823499798766,-0.001501692256629461,0.00948640302300452,-0.0013372083872045693,-0.004601822798553124,0.0038028043701531012,-0.0020923612223571197,-0.004697572611153822,0.001429163080911935,0.002439675293117727,-0.0018427317260801934,0.008950052867829749,0.0018798751898109866,-0.001524076037425548,0.007485831241998797
11,ETTh1,randomized_smoothing,5,method_delta_pair_percentile,1000,0.95,1236749914,-0.0007971134155988713,-0.002665194535255455,0.00045099365055562,-0.0004783078585849143,-0.002487472513775879,0.0012805035302413171,0.0015372273665255065,-0.0014154950273648215,0.006129084506679841,-0.001163691451102511,-0.0028529646678269183,0.00037208955109118146,-0.00015050071647390028,-0.0011769302889146015,0.00042985958957949795
12,ETTh1,randomized_training,5,method_delta_pair_percentile,1000,0.95,850661686,0.009313205673694602,0.0010646051627397513,0.02076015394896267,-0.00413199446407897,-0.011726551363296043,0.002365907976166115,-0.0016502990116133097,-0.006706184716122987,0.0057300030868428385,0.008488364043831798,0.0007900126972794297,0.01950564735740421,0.00881398482555521,-0.001389389356672799,0.020931930458899593
13,ETTh1,revin,4,method_delta_pair_percentile,1000,0.95,1593539434,-0.04522650417797268,-0.109958209047094,-0.003886385428160416,0.12429472308029105,0.06557069881119792,0.18301874734938417,0.04481706275726971,0.022958914012707887,0.06631078362303389,0.010146577700227477,-0.022830603038892117,0.030661884037405218,-0.0255399230204639,-0.07377916470423809,0.009607727627421264
14,Penmanshiel_Hourly_WT08,adaptive_robust_loss,5,method_delta_pair_percentile,1000,0.95,479797452,0.04029126580493873,0.018597450731826132,0.06466788809901744,0.1435904533911944,-0.012910808723283596,0.36988809718348437,0.015333518843187033,-0.017049257229898095,0.06085067926443033,0.10247913359812606,0.02628644220094022,0.1827158362653796,0.04895405328154846,0.01584313074359798,0.07608352940588006
15,Penmanshiel_Hourly_WT08,adversarial_training,5,method_delta_pair_percentile,1000,0.95,352005074,-0.005488427758153991,-0.011914113593538275,0.00023326111489673228,-0.05854093365259212,-0.10414956426196106,-0.01820532035334117,-0.01638211926818136,-0.02738137676677823,-0.006783293216757036,-0.026430627950028283,-0.0486306914987677,-0.012252810073834663,-0.011504921934033453,-0.021693426648525905,-0.005034711619151267
16,Penmanshiel_Hourly_WT08,ensemble,5,method_delta_pair_percentile,1000,0.95,1192572385,-0.006699006798789486,-0.010281905214866249,-0.0034395721836930912,-0.023325137571075415,-0.07234626580419694,0.008103054126770015,-0.0068758531151948965,-0.02220912258906771,0.003175486242839698,-0.015957671985617195,-0.032467115570998274,-0.0068362731010650065,-0.009604084393158952,-0.015407681827148401,-0.004554173253567606
17,Penmanshiel_Hourly_WT08,fault_augmentation,5,method_delta_pair_percentile,1000,0.95,290194127,-0.0009796255555670319,-0.004925645975694915,0.0018214981343259496,-0.018607375565322392,-0.05817745880961915,0.007507338342893455,-0.007198532486181142,-0.021657236907919007,0.004339168407027527,-0.007728555952075699,-0.018710203532493606,-0.0013983965032809743,-0.0036310836599828477,-0.007133058160082251,-0.0006764174231487896
18,Penmanshiel_Hourly_WT08,randomized_smoothing,5,method_delta_pair_percentile,1000,0.95,2088379670,0.0027063804674358092,0.0009153158355364565,0.004791787595598494,-0.001638155076753467,-0.004320300049768999,0.0010788778585563818,-0.0008231240168557364,-0.0017904163603740919,-9.008062319164623e-05,0.002777500296627389,0.0006616643363481667,0.005212557836233156,0.00267142393065406,0.0009456425020401893,0.004881195916758318
19,Penmanshiel_Hourly_WT08,randomized_training,5,method_delta_pair_percentile,1000,0.95,1694584256,-0.003016695255103696,-0.006159721853794753,-0.00016012398548425065,-0.035886398213736556,-0.06196630318905423,-0.011068095978191828,-0.012097885217631887,-0.023538896168562345,-0.0036332180988719377,-0.01570828961343913,-0.022136546244216147,-0.009779315804972336,-0.007376063755517259,-0.010630661542331133,-0.004594395671415565
20,Penmanshiel_Hourly_WT08,revin,4,method_delta_pair_percentile,1000,0.95,759724235,-0.0008515224081744321,-0.005180268675053945,0.0034772238587050808,0.11006718052194903,0.008350570124449175,0.29247471649153617,0.043168272264716645,0.013939866179795313,0.08535676394212582,0.03699362895999954,0.003344331509872192,0.10113449120193771,0.013910277101002302,0.003994954828283492,0.029838653199843038
21,traffic,adaptive_robust_loss,5,method_delta_pair_percentile,1000,0.95,359342585,0.07492275354892015,0.05335474666446447,0.09649076043337583,-0.006612638178413688,-0.060436319347786996,0.04972075931337255,0.005405177947492401,-0.02294346120600337,0.033527894730073095,0.09982955699294804,0.05422025118231773,0.15502003617465493,0.09140008851397781,0.06324103218957784,0.12299389049045736
