,dataset,robustness_method,scenario,delta_D
0,BeijingAir_Tiantan,adaptive_robust_loss,attenuation,-0.015577848191474297
1,BeijingAir_Tiantan,adaptive_robust_loss,drift,0.026519172171350247
2,BeijingAir_Tiantan,adaptive_robust_loss,missing_data,0.008905329982730682
3,BeijingAir_Tiantan,adaptive_robust_loss,noise,-0.0200217077495485
4,BeijingAir_Tiantan,adaptive_robust_loss,spike,-0.011278644403538962
5,BeijingAir_Tiantan,adaptive_robust_loss,stuck_sensor,0.026251468446228055
6,BeijingAir_Tiantan,adaptive_robust_loss,time_compress,-0.0012332223523569886
7,BeijingAir_Tiantan,adaptive_robust_loss,time_stretch,0.011779505462385532
8,BeijingAir_Tiantan,adversarial_training,attenuation,-0.00527302292185663
9,BeijingAir_Tiantan,adversarial_training,drift,0.005084348699572683
10,BeijingAir_Tiantan,adversarial_training,missing_data,-0.011959603290784581
11,BeijingAir_Tiantan,adversarial_training,noise,-0.15069292741330936
12,BeijingAir_Tiantan,adversarial_training,spike,-0.09260897589120991
13,BeijingAir_Tiantan,adversarial_training,stuck_sensor,-0.007211890139708066
14,BeijingAir_Tiantan,adversarial_training,time_compress,-0.005898164044093712
15,BeijingAir_Tiantan,adversarial_training,time_stretch,-0.000392392957333243
16,BeijingAir_Tiantan,ensemble,attenuation,0.0010904195705150332
17,BeijingAir_Tiantan,ensemble,drift,0.012679601063490465
18,BeijingAir_Tiantan,ensemble,missing_data,-0.0005190337144409974
19,BeijingAir_Tiantan,ensemble,noise,0.0069199444437117565
20,BeijingAir_Tiantan,ensemble,spike,0.01605682441425147
21,BeijingAir_Tiantan,ensemble,stuck_sensor,0.009148051844049742
22,BeijingAir_Tiantan,ensemble,time_compress,0.0007051501770955815
23,BeijingAir_Tiantan,ensemble,time_stretch,0.004372381804107528
24,BeijingAir_Tiantan,fault_augmentation,attenuation,-0.02926112260349716
25,BeijingAir_Tiantan,fault_augmentation,drift,0.00014598223687203315
26,BeijingAir_Tiantan,fault_augmentation,missing_data,-0.0022266430249387346
27,BeijingAir_Tiantan,fault_augmentation,noise,-0.034399523545577314
28,BeijingAir_Tiantan,fault_augmentation,spike,-0.01731685668742311
29,BeijingAir_Tiantan,fault_augmentation,stuck_sensor,-0.0057959190121722685
30,BeijingAir_Tiantan,fault_augmentation,time_compress,-0.0030708819318345125
31,BeijingAir_Tiantan,fault_augmentation,time_stretch,0.0005408594828596458
32,BeijingAir_Tiantan,randomized_smoothing,attenuation,0.004386040640638633
33,BeijingAir_Tiantan,randomized_smoothing,drift,-0.004814150905260073
34,BeijingAir_Tiantan,randomized_smoothing,missing_data,-0.0009366528206266711
35,BeijingAir_Tiantan,randomized_smoothing,noise,-0.0004906589837157416
36,BeijingAir_Tiantan,randomized_smoothing,spike,-0.0029328655733419583
37,BeijingAir_Tiantan,randomized_smoothing,stuck_sensor,1.2212415356005479e-05
38,BeijingAir_Tiantan,randomized_smoothing,time_compress,0.0011261680182884427
39,BeijingAir_Tiantan,randomized_smoothing,time_stretch,0.0002719795477921005
40,BeijingAir_Tiantan,randomized_training,attenuation,-0.024938658380437496
41,BeijingAir_Tiantan,randomized_training,drift,-0.0028208125015402262
42,BeijingAir_Tiantan,randomized_training,missing_data,-0.004571970042561713
43,BeijingAir_Tiantan,randomized_training,noise,-0.18069874155206814
44,BeijingAir_Tiantan,randomized_training,spike,-0.11050845884170526
45,BeijingAir_Tiantan,randomized_training,stuck_sensor,-0.012541710085679636
46,BeijingAir_Tiantan,randomized_training,time_compress,-0.002585552208598485
47,BeijingAir_Tiantan,randomized_training,time_stretch,0.0011270787568341324
48,BeijingAir_Tiantan,revin,attenuation,0.00582490492122556
49,BeijingAir_Tiantan,revin,drift,0.07877110224813438
50,BeijingAir_Tiantan,revin,missing_data,0.003768316351433987
51,BeijingAir_Tiantan,revin,noise,-0.06936601950567178
52,BeijingAir_Tiantan,revin,spike,-0.03996285132357186
53,BeijingAir_Tiantan,revin,stuck_sensor,0.18662376316146678
54,BeijingAir_Tiantan,revin,time_compress,0.011212275013838813
55,BeijingAir_Tiantan,revin,time_stretch,0.025176799763023616
56,ETTh1,adaptive_robust_loss,attenuation,-0.006764833263312298
57,ETTh1,adaptive_robust_loss,drift,-0.013149567526516215
58,ETTh1,adaptive_robust_loss,missing_data,-0.010223814335740378
59,ETTh1,adaptive_robust_loss,noise,-0.0016902419859901041
60,ETTh1,adaptive_robust_loss,spike,-0.013373209922083861
61,ETTh1,adaptive_robust_loss,stuck_sensor,-0.008654999527089768
62,ETTh1,adaptive_robust_loss,time_compress,-0.017827214786215052
63,ETTh1,adaptive_robust_loss,time_stretch,-0.01343787760035311
64,ETTh1,adversarial_training,attenuation,0.004986326131393426
65,ETTh1,adversarial_training,drift,-0.007465334620070441
66,ETTh1,adversarial_training,missing_data,0.010272849026489483
67,ETTh1,adversarial_training,noise,-0.016028562061311737
68,ETTh1,adversarial_training,spike,-0.017297760034618248
69,ETTh1,adversarial_training,stuck_sensor,-0.001411838893375883
70,ETTh1,adversarial_training,time_compress,-0.0045856660294089305
71,ETTh1,adversarial_training,time_stretch,1.2353795596720119e-05
72,ETTh1,ensemble,attenuation,0.0009917374189560846
73,ETTh1,ensemble,drift,-0.006989215175059083
74,ETTh1,ensemble,missing_data,-0.00013996552216943847
75,ETTh1,ensemble,noise,-0.005550416107711609
76,ETTh1,ensemble,spike,-0.011740570749783541
77,ETTh1,ensemble,stuck_sensor,-0.005991075325803808
78,ETTh1,ensemble,time_compress,-0.0031843127386145032
79,ETTh1,ensemble,time_stretch,-0.0007731536222590929
80,ETTh1,fault_augmentation,attenuation,-0.0013920852333953793
81,ETTh1,fault_augmentation,drift,-0.013284995794681698
82,ETTh1,fault_augmentation,missing_data,0.006307785548387512
83,ETTh1,fault_augmentation,noise,-0.001754466144842981
84,ETTh1,fault_augmentation,spike,-0.007139736220909953
85,ETTh1,fault_augmentation,stuck_sensor,-0.0034995280277807074
86,ETTh1,fault_augmentation,time_compress,0.0023082205569425972
87,ETTh1,fault_augmentation,time_stretch,0.001715915537424273
88,ETTh1,randomized_smoothing,attenuation,0.0003993066734362838
89,ETTh1,randomized_smoothing,drift,0.007885727763774053
90,ETTh1,randomized_smoothing,missing_data,0.0005333389916688525
91,ETTh1,randomized_smoothing,noise,0.0025612755681776456
92,ETTh1,randomized_smoothing,spike,-0.0006691418433277807
93,ETTh1,randomized_smoothing,stuck_sensor,-0.0004806394398007896
94,ETTh1,randomized_smoothing,time_compress,0.0016031409374503535
95,ETTh1,randomized_smoothing,time_stretch,0.000464810280825656
96,ETTh1,randomized_training,attenuation,-0.0023463075324097193
97,ETTh1,randomized_training,drift,-0.006346539940836981
98,ETTh1,randomized_training,missing_data,0.002816192620826907
99,ETTh1,randomized_training,noise,-0.011120817863555343
100,ETTh1,randomized_training,spike,0.00033165219212782926
101,ETTh1,randomized_training,stuck_sensor,-0.0045922425710859475
102,ETTh1,randomized_training,time_compress,0.007474229605052285
103,ETTh1,randomized_training,time_stretch,0.0005814413969744692
104,ETTh1,revin,attenuation,0.010072945099874664
105,ETTh1,revin,drift,0.09690926326387478
106,ETTh1,revin,missing_data,0.0663937423864519
107,ETTh1,revin,noise,0.007040433861812134
108,ETTh1,revin,spike,0.004116804930730855
109,ETTh1,revin,stuck_sensor,0.12998401097944617
110,ETTh1,revin,time_compress,0.021952728199408023
111,ETTh1,revin,time_stretch,0.02206657333655948
112,Penmanshiel_Hourly_WT08,adaptive_robust_loss,attenuation,-0.02442191904258877
113,Penmanshiel_Hourly_WT08,adaptive_robust_loss,drift,-0.040502020797965346
114,Penmanshiel_Hourly_WT08,adaptive_robust_loss,missing_data,0.0010779621252233085
115,Penmanshiel_Hourly_WT08,adaptive_robust_loss,noise,0.052041262091650206
116,Penmanshiel_Hourly_WT08,adaptive_robust_loss,spike,0.1389127438832205
117,Penmanshiel_Hourly_WT08,adaptive_robust_loss,stuck_sensor,-0.0027510073496104237
118,Penmanshiel_Hourly_WT08,adaptive_robust_loss,time_compress,-0.00035683721351755795
119,Penmanshiel_Hourly_WT08,adaptive_robust_loss,time_stretch,-0.0013320329509151074
