,dataset,robustness_method,scenario,delta_err_pert
0,BeijingAir_Tiantan,adaptive_robust_loss,attenuation,-0.002955128084186287
1,BeijingAir_Tiantan,adaptive_robust_loss,drift,0.010310004998450462
2,BeijingAir_Tiantan,adaptive_robust_loss,missing_data,0.004509417937274274
3,BeijingAir_Tiantan,adaptive_robust_loss,noise,-0.0038307270065919274
4,BeijingAir_Tiantan,adaptive_robust_loss,spike,-0.0016995516088939566
5,BeijingAir_Tiantan,adaptive_robust_loss,stuck_sensor,0.01086643737264692
6,BeijingAir_Tiantan,adaptive_robust_loss,time_compress,0.0009271156889609222
7,BeijingAir_Tiantan,adaptive_robust_loss,time_stretch,0.0055782909774498065
8,BeijingAir_Tiantan,adversarial_training,attenuation,0.003916910951859309
9,BeijingAir_Tiantan,adversarial_training,drift,0.006329771472256107
10,BeijingAir_Tiantan,adversarial_training,missing_data,0.0006848849556481684
11,BeijingAir_Tiantan,adversarial_training,noise,-0.04245725117116063
12,BeijingAir_Tiantan,adversarial_training,spike,-0.02448730901853676
13,BeijingAir_Tiantan,adversarial_training,stuck_sensor,0.0029870798382645057
14,BeijingAir_Tiantan,adversarial_training,time_compress,0.002261150015414759
15,BeijingAir_Tiantan,adversarial_training,time_stretch,0.004474969923986205
16,BeijingAir_Tiantan,ensemble,attenuation,-0.010177737974550127
17,BeijingAir_Tiantan,ensemble,drift,-0.006270240173411457
18,BeijingAir_Tiantan,ensemble,missing_data,-0.010021718672276757
19,BeijingAir_Tiantan,ensemble,noise,-0.008875169238468827
20,BeijingAir_Tiantan,ensemble,spike,-0.0052495723230484796
21,BeijingAir_Tiantan,ensemble,stuck_sensor,-0.006876577102678893
22,BeijingAir_Tiantan,ensemble,time_compress,-0.009020061340038932
23,BeijingAir_Tiantan,ensemble,time_stretch,-0.007717856447614468
24,BeijingAir_Tiantan,fault_augmentation,attenuation,-0.0032754030270248703
25,BeijingAir_Tiantan,fault_augmentation,drift,0.0051304427972372006
26,BeijingAir_Tiantan,fault_augmentation,missing_data,0.0043533033472797356
27,BeijingAir_Tiantan,fault_augmentation,noise,-0.005132531732473878
28,BeijingAir_Tiantan,fault_augmentation,spike,-0.00021703763398893682
29,BeijingAir_Tiantan,fault_augmentation,stuck_sensor,0.003634494129925614
30,BeijingAir_Tiantan,fault_augmentation,time_compress,0.0036897207060302083
31,BeijingAir_Tiantan,fault_augmentation,time_stretch,0.005122725033924358
32,BeijingAir_Tiantan,randomized_smoothing,attenuation,0.0035605959621045624
33,BeijingAir_Tiantan,randomized_smoothing,drift,0.0004334563233473365
34,BeijingAir_Tiantan,randomized_smoothing,missing_data,0.001371891072254805
35,BeijingAir_Tiantan,randomized_smoothing,noise,0.00267003201656828
36,BeijingAir_Tiantan,randomized_smoothing,spike,0.0013772103892656707
37,BeijingAir_Tiantan,randomized_smoothing,stuck_sensor,0.0019245142045939746
38,BeijingAir_Tiantan,randomized_smoothing,time_compress,0.001947224866109909
39,BeijingAir_Tiantan,randomized_smoothing,time_stretch,0.0017571509574548672
40,BeijingAir_Tiantan,randomized_training,attenuation,0.01941382058398623
41,BeijingAir_Tiantan,randomized_training,drift,0.026469608151355926
42,BeijingAir_Tiantan,randomized_training,missing_data,0.02640515921308717
43,BeijingAir_Tiantan,randomized_training,noise,-0.027798790742727876
44,BeijingAir_Tiantan,randomized_training,spike,-0.006828450795922247
45,BeijingAir_Tiantan,randomized_training,stuck_sensor,0.02324893104061525
46,BeijingAir_Tiantan,randomized_training,time_compress,0.024807754002851144
47,BeijingAir_Tiantan,randomized_training,time_stretch,0.026459853226930584
48,BeijingAir_Tiantan,revin,attenuation,0.009180545308559884
49,BeijingAir_Tiantan,revin,drift,0.03137719089638885
50,BeijingAir_Tiantan,revin,missing_data,0.0065765359139591945
51,BeijingAir_Tiantan,revin,noise,-0.013757204589052704
52,BeijingAir_Tiantan,revin,spike,-0.005852680736955149
53,BeijingAir_Tiantan,revin,stuck_sensor,0.06579826322381921
54,BeijingAir_Tiantan,revin,time_compress,0.008561487292716552
55,BeijingAir_Tiantan,revin,time_stretch,0.013616943621666544
56,ETTh1,adaptive_robust_loss,attenuation,0.034007741662859914
57,ETTh1,adaptive_robust_loss,drift,0.02782147185474635
58,ETTh1,adaptive_robust_loss,missing_data,0.027484875882118943
59,ETTh1,adaptive_robust_loss,noise,0.0325543506544828
60,ETTh1,adaptive_robust_loss,spike,0.027119426257312295
61,ETTh1,adaptive_robust_loss,stuck_sensor,0.029563239744454583
