,dataset,data_config_signature,run_id,robustness_method,pipeline_method,pipeline_id,model_architecture,model,scenario_idx,scenario,D,D_CI_lo,D_CI_hi,err_pert,err_pert_CI_lo,err_pert_CI_hi
0,Penmanshiel_Hourly_WT08,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,e78f42efaca24d7996939c737115cc9e,randomized_smoothing,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.25,ModernTCN,RandomizedSmoothing,0,drift,1.1060328781507716,1.0947563711351862,1.118485224581096,0.37230376713759034,0.3606547006963013,0.3831983679191335
1,Penmanshiel_Hourly_WT08,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,e78f42efaca24d7996939c737115cc9e,randomized_smoothing,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.25,ModernTCN,RandomizedSmoothing,1,attenuation,1.097282606490079,1.0848043023833995,1.1115027540212068,0.36935832205443875,0.3584930942853517,0.37965589654402865
2,Penmanshiel_Hourly_WT08,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,e78f42efaca24d7996939c737115cc9e,randomized_smoothing,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.25,ModernTCN,RandomizedSmoothing,2,noise,1.1814355609627079,1.162861552010243,1.2011976355035043,0.39768520327545703,0.3850157217762128,0.4096326469090098
3,Penmanshiel_Hourly_WT08,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,e78f42efaca24d7996939c737115cc9e,randomized_smoothing,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.25,ModernTCN,RandomizedSmoothing,3,spike,1.10335878730781,1.070941797679284,1.1428798959085587,0.37140363648671193,0.35634429111000643,0.38799818740561665
4,Penmanshiel_Hourly_WT08,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,e78f42efaca24d7996939c737115cc9e,randomized_smoothing,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.25,ModernTCN,RandomizedSmoothing,4,time_stretch,1.0060361528708124,0.9990444899679992,1.0134044793175192,0.3386436850020604,0.32746209666269,0.34888797968373153
5,Penmanshiel_Hourly_WT08,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,e78f42efaca24d7996939c737115cc9e,randomized_smoothing,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.25,ModernTCN,RandomizedSmoothing,5,time_compress,1.0042136202324063,0.9999995136049565,1.0081814547058006,0.3380301989290747,0.32665943879792003,0.34838192090489145
6,Penmanshiel_Hourly_WT08,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,e78f42efaca24d7996939c737115cc9e,randomized_smoothing,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.25,ModernTCN,RandomizedSmoothing,6,stuck_sensor,1.0465166508499932,1.033345094919319,1.061131336167975,0.3522699000911205,0.34037574925042313,0.3638837771605307
7,Penmanshiel_Hourly_WT08,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,e78f42efaca24d7996939c737115cc9e,randomized_smoothing,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.25,ModernTCN,RandomizedSmoothing,7,missing_data,1.0270757188259394,1.0166102978365434,1.0385458868162065,0.3457258521046606,0.3340392362665493,0.3559867854911818
8,Penmanshiel_Hourly_WT08,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,91d651009a96427f8455883dcacee85d,randomized_smoothing,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.35,GRU,RandomizedSmoothing,0,drift,1.0637471424240743,1.0552226305180854,1.0726876231124352,0.3676864499472431,0.3570006746150172,0.3782510601515084
9,Penmanshiel_Hourly_WT08,d379114cd53cbbe062e0e09b673d66d5a6d103c8d25daba8f040e64926c0f2d0,91d651009a96427f8455883dcacee85d,randomized_smoothing,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.35,GRU,RandomizedSmoothing,1,attenuation,1.0561397981960898,1.048946706965278,1.063950364686831,0.36505695532285315,0.3545894837521908,0.37536636387204264
