,dataset,robustness_method,pipeline_id,selection_metric_name,selection_score,architectures_covered,run_count,selection_rank,is_representative,candidate_count
0,BeijingAir_Tiantan,adaptive_robust_loss,arl_alo0.001_ainit1.9_slo0.001_sinit0.1,best_val_loss,0.154860720038414,1,1,1,True,4
1,BeijingAir_Tiantan,adaptive_robust_loss,arl_alo0.001_ainit1.0_slo0.001_sinit0.1,best_val_loss,0.15841694176197052,1,1,2,False,4
2,BeijingAir_Tiantan,adaptive_robust_loss,arl_alo0.001_ainit1.0_slo1e-05_sinit0.1,best_val_loss,0.20614182949066162,1,1,3,False,4
3,BeijingAir_Tiantan,adaptive_robust_loss,arl_alo0.001_ainit1.0_slo0.01_sinit0.1,best_val_loss,0.2078619971871376,2,2,4,False,4
4,BeijingAir_Tiantan,adversarial_training,advtrain_eps0.05_steps7_alpha0.02_channelsall,best_val_loss,0.21352575719356537,1,1,1,True,3
5,BeijingAir_Tiantan,adversarial_training,advtrain_eps0.1_steps3_alpha0.02_channelsall,best_val_loss,0.2209145799279213,2,2,2,False,3
6,BeijingAir_Tiantan,adversarial_training,advtrain_eps0.05_steps3_alpha0.02_channelsall,best_val_loss,0.224844329059124,2,2,3,False,3
7,BeijingAir_Tiantan,ensemble,ensemble_top5_mean,MSE_val,0.21152110397815704,1,1,1,True,3
8,BeijingAir_Tiantan,ensemble,ensemble_top3_mean,MSE_val,0.21402901411056519,2,2,2,False,3
9,BeijingAir_Tiantan,ensemble,ensemble_top10_mean,MSE_val,0.21660947799682617,2,2,3,False,3
10,BeijingAir_Tiantan,fault_augmentation,fa_profholdout_varying_mix0.75_sev1.0_frac0.1,best_val_loss,0.21050289273262024,1,1,1,True,4
11,BeijingAir_Tiantan,fault_augmentation,fa_profholdout_varying_mix0.75_sev0.75_frac0.1,best_val_loss,0.2127051129937172,2,2,2,False,4
12,BeijingAir_Tiantan,fault_augmentation,fa_profholdout_simple_mix1.0_sev1.0_frac0.25,best_val_loss,0.22589904069900513,1,1,3,False,4
13,BeijingAir_Tiantan,fault_augmentation,fa_profholdout_simple_mix0.75_sev0.75_frac0.25,best_val_loss,0.23188850283622742,1,1,4,False,4
14,BeijingAir_Tiantan,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.25,MSE_val,0.2221653789281845,5,5,1,True,1
15,BeijingAir_Tiantan,randomized_training,rt_spaceraw_std0.1_channelscontinuous,best_val_loss,0.2449117422103882,5,5,1,True,1
16,BeijingAir_Tiantan,revin,revin_affineFalse_eps1e-5,best_val_loss,0.23722150176763535,4,4,1,True,1
17,ETTh1,adaptive_robust_loss,arl_alo0.001_ainit1.0_slo1e-05_sinit0.1,best_val_loss,0.6939147114753723,2,2,1,True,4
18,ETTh1,adaptive_robust_loss,arl_alo0.001_ainit1.0_slo0.001_sinit0.1,best_val_loss,0.735191822052002,1,1,2,False,4
19,ETTh1,adaptive_robust_loss,arl_alo0.25_ainit1.0_slo1e-05_sinit1.0,best_val_loss,0.9916918873786926,1,1,3,False,4
20,ETTh1,adaptive_robust_loss,arl_alo0.5_ainit1.0_slo0.01_sinit1.0,best_val_loss,1.0249470472335815,1,1,4,False,4
